M_ORIGIN,M_DESTINATION,D_LANDMARK,D_TYPE,O_LANDMARK,O_TYPE,TRIP_START_TIME,TRIP_SEQUENCE,TOTAL_TRAVEL_TIME,ACCESS_MODE,ACCESS_TIME,ACCESS_DISTANCE,WAITING_TIME_FIRST_STATION,EGRESS_MODE,EGRESS_TIME,EGRESS_DISTANCE,WAITING_TIME_FINAL_STATION,BICYCLE_USE,WALKING_TIME_SECOND_STOP,WAITING_TIME_SECOND_STOP,PASS,TOTAL_COST,CROWDING,GENDER,S_1,S_2,S_3,AGE,EDUCATION,OCCUPATION,INCOME,CARS,TWO_WHEELER,BICYCLES,OTHERS
Rajajinagar (green line),Rajarajeshwari Nagar (purple line),"Hemmigepura, RR nagar",Home (ಮನೆ),"Rajajinagar, akash tuition ",Friend/Relative’s place (ಸ್ನೇಹಿತರ/ಸಂಬಂಧಿಕರ ಸ್ಥಳ),11:20:00,Metro (ಮೆಟ್ರೋ),50,Walk (ನಡಿಗೆ),5,< 0.5 km (<0.5 ಕೀ. ಮೀ),5,Two-Wheeler (ದ್ವಿಚಕ್ರ ವಾಹನ),15,4.5 km to 5 km (4.5 ರಿಂದ 5 ಕೀ. ಮೀ),,For both access and egress trips (ಆಕ್ಸೆಸ್ ಟ್ರಿಪ್ ಮತ್ತು ಎಗ್ರೆಸ್ ಟ್ರಿಪ್ ಗಾಗಿ),,,Metro card (ಮೆಟ್ರೋ ಕಾರ್ಡ್),0,Very high crowding - All seats AND most standing space occupied (ಅತಿ ಹೆಚ್ಚು ಜನಸಂದಣಿ - ಎಲ್ಲಾ ಆಸನಗಳು ಮತ್ತು ಬಹುತೇಕ ನಿಲ್ಲುವ ಜಾಗ ತುಂಬಿರುತ್ತದೆ),Female (ಹೆಣ್ಣು),,,Metro (ಮೆಟ್ರೋ),18-25 yrs (18-25 ವರ್ಷ),12th Std. (PUC/HSE) (12ನೇ ತರಗತಿ (PUC/HSE)),Student (ವಿದ್ಯಾರ್ಥಿ),"25,001 – 50,000",1,3,0,0
"Nadaprabhu Kempegowda Station, Majestic (green/purple line)",Baiyappanahalli (purple line),Bayappanahalli gunjur ,Friend/Relative’s place (ಸ್ನೇಹಿತರ/ಸಂಬಂಧಿಕರ ಸ್ಥಳ),Yeshwantpur railway station ,Other (ಇತರೆ),10:00:00,Bus1 + Metro + Bus2 (ಬಸ್1+ಮೆಟ್ರೋ+ಬಸ್2),120,Walk (ನಡಿಗೆ),5,< 0.5 km (<0.5 ಕೀ. ಮೀ),5,Walk (ನಡಿಗೆ),5,1 km to 1.5 km (1 ರಿಂದ 1.5 ಕೀ. ಮೀ),,For neither access nor egress trips (ಆಕ್ಸೆಸ್ ಟ್ರಿಪ್ ಮತ್ತು ಎಗ್ರೆಸ್ ಟ್ರಿಪ್ ಎರಡಕ್ಕೂ ಬಳಸುವುದಿಲ್ಲ),10,5,No (ಇಲ್ಲ),50,Medium crowding - All seats AND 25-50% of standing space occupied (ಮಧ್ಯಮ ಜನಸಂದಣಿ - ಎಲ್ಲಾ ಆಸನಗಳು ಮತ್ತು 25-50% ನಿಲ್ಲುವ ಜಾಗ ತುಂಬಿರುತ್ತದೆ),Female (ಹೆಣ್ಣು),Yes (ಹೌದು),Bus + Metro (ಬಸ್+ಮೆಟ್ರೋ),Bus and Metro (ಬಸ್ ಮತ್ತು ಮೆಟ್ರೋ),18-25yrs (18-25 ವರ್ಷ),Graduate (ಪದವಿ),Employed Private (ಖಾಸಗಿ ಉದ್ಯೋಗ),,0,0,0,0
Kengeri (purple line),Lalbagh (green line),Lalbagh park,Social/Religious place (ಸಾಮಾಜಿಕ/ಧಾರ್ಮಿಕ ಸ್ಥಳ),"Kumbalgodu,Don Bosco college ",Home (ಮನೆ),10:00:00,Bus + Metro (ಬಸ್+ಮೆಟ್ರೋ),120,Walk (ನಡಿಗೆ),15,0.5 to 1 km (0.5 ರಿಂದ 1 ಕೀ. ಮೀ),1,Walk (ನಡಿಗೆ),5,0.5 to 1 km (0.5 ರಿಂದ 1 ಕೀ. ಮೀ),,For neither access nor egress trips (ಆಕ್ಸೆಸ್ ಟ್ರಿಪ್ ಮತ್ತು ಎಗ್ರೆಸ್ ಟ್ರಿಪ್ ಎರಡಕ್ಕೂ ಬಳಸುವುದಿಲ್ಲ),5,10,No (ಇಲ್ಲ),35,High crowding - All seats AND 50-75% of standing space occupied (ಹೆಚ್ಚಿನ ಜನಸಂದಣಿ - ಎಲ್ಲಾ ಆಸನಗಳು ಮತ್ತು 50-75% ನಿಲ್ಲುವ ಜಾಗ ತುಂಬಿರುತ್ತದೆ),Female (ಹೆಣ್ಣು),Yes (ಹೌದು),Metro (ಮೆಟ್ರೋ),Bus and Metro (ಬಸ್ ಮತ್ತು ಮೆಟ್ರೋ),26-35yrs (26-35 ವರ್ಷ),Graduate (ಪದವಿ),Employed Private (ಖಾಸಗಿ ಉದ್ಯೋಗ),"10,001 – 25,000",0,3,1,0
Jnanabharathi (purple line),Lalbagh (green line),Lalbagh ,Other (ಇತರೆ),"Nagadevanahalli ,gyanabarathi",Home (ಮನೆ),11:00:00,Metro (ಮೆಟ್ರೋ),60,Car (ಕಾರು),10,1 km to 1.5 km (1 ರಿಂದ 1.5 ಕೀ. ಮೀ),5,Walk (ನಡಿಗೆ),5,"< 0.5 km (<0.5 ಕೀ. ಮೀ,)",,For both access and egress trips (ಆಕ್ಸೆಸ್ ಟ್ರಿಪ್ ಮತ್ತು ಎಗ್ರೆಸ್ ಟ್ರಿಪ್ ಗಾಗಿ),,,No (ಇಲ್ಲ),40,Low crowding - All seats AND up to 25% of standing space occupied (ಕಡಿಮೆ ಜನಸಂದಣಿ - ಎಲ್ಲಾ ಆಸನಗಳು ಮತ್ತು 25% ನಿಲ್ಲುವ ಜಾಗ ತುಂಬಿರುತ್ತದೆ),Male (ಪುರುಷ),,,Metro (ಮೆಟ್ರೋ),36-45 yrs (36-45 ವರ್ಷ),Graduate (ಪದವಿ),Employed Private (ಖಾಸಗಿ ಉದ್ಯೋಗ),,1,1,0,0
Dasarahalli (green line),"Sir.M.Visvesvaraya Stn., Central College (purple line)",Central college ,Friend/Relative’s place (ಸ್ನೇಹಿತರ/ಸಂಬಂಧಿಕರ ಸ್ಥಳ),Dasarahalli 560057,Home (ಮನೆ),11:00:00,Bus + Metro (ಬಸ್+ಮೆಟ್ರೋ),60,Walk (ನಡಿಗೆ),10,0.5 to 1 km (0.5 ರಿಂದ 1 ಕೀ. ಮೀ),20,Two-Wheeler (ದ್ವಿಚಕ್ರ ವಾಹನ),10,1.5 km to 2 km (1.5 ರಿಂದ 2 ಕೀ. ಮೀ),,For both access and egress trips (ಆಕ್ಸೆಸ್ ಟ್ರಿಪ್ ಮತ್ತು ಎಗ್ರೆಸ್ ಟ್ರಿಪ್ ಗಾಗಿ),5,5,Metro card (ಮೆಟ್ರೋ ಕಾರ್ಡ್),0,High crowding - All seats AND 50-75% of standing space occupied (ಹೆಚ್ಚಿನ ಜನಸಂದಣಿ - ಎಲ್ಲಾ ಆಸನಗಳು ಮತ್ತು 50-75% ನಿಲ್ಲುವ ಜಾಗ ತುಂಬಿರುತ್ತದೆ),Female (ಹೆಣ್ಣು),Yes (ಹೌದು),Bus + Metro (ಬಸ್+ಮೆಟ್ರೋ),Bus and Metro (ಬಸ್ ಮತ್ತು ಮೆಟ್ರೋ),18-25yrs (18-25 ವರ್ಷ),Postgraduate (ಸ್ನಾತಕೋತ್ತರ ಪದವಿ),Employed Private (ಖಾಸಗಿ ಉದ್ಯೋಗ),"10,001 – 25,000",0,3,0,0
Mahalakshmi (green line),Baiyappanahalli (purple line),"Ramurthinagar,gopalan arcade",Shopping place (ಶಾಪಿಂಗ್ ಕೇಂದ್ರ),"Mahalaxmi,kurubruhalli",Home (ಮನೆ),08:30:00,Metro (ಮೆಟ್ರೋ),105,Ola/Uber car (ಓಲಾ/ಉಬರ್ ಕಾರು),15,3.5 km to 4 km (3.5 ರಿಂದ 4 ಕೀ. ಮೀ),5,Ola/Uber car (ಓಲಾ/ಉಬರ್ ಕಾರು),20,4.5 km to 5 km (4.5 ರಿಂದ 5 ಕೀ. ಮೀ),6,For access trip only (ಆಕ್ಸೆಸ್ ಟ್ರಿಪ್ ಗಾಗಿ ಮಾತ್ರ),,,No (ಇಲ್ಲ),38,Very high crowding - All seats AND most standing space occupied (ಅತಿ ಹೆಚ್ಚು ಜನಸಂದಣಿ - ಎಲ್ಲಾ ಆಸನಗಳು ಮತ್ತು ಬಹುತೇಕ ನಿಲ್ಲುವ ಜಾಗ ತುಂಬಿರುತ್ತದೆ),Female (ಹೆಣ್ಣು),,,Metro (ಮೆಟ್ರೋ),18-25 yrs (18-25 ವರ್ಷ),Graduate (ಪದವಿ),Employed Private (ಖಾಸಗಿ ಉದ್ಯೋಗ),"10,001 – 25,000",0,0,0,0
Baiyappanahalli (purple line),Jayanagar (green line),Jayanagar 4th block ,Shopping place (ಶಾಪಿಂಗ್ ಕೇಂದ್ರ),"Seegehalli, lake mount school",Home (ಮನೆ),10:10:00,Bus + Metro (ಬಸ್+ಮೆಟ್ರೋ),120,Walk (ನಡಿಗೆ),10,0.5 to 1 km (0.5 ರಿಂದ 1 ಕೀ. ಮೀ),1,Walk (ನಡಿಗೆ),5,0.5 to 1 km (0.5 ರಿಂದ 1 ಕೀ. ಮೀ),,For neither access nor egress trips (ಆಕ್ಸೆಸ್ ಟ್ರಿಪ್ ಮತ್ತು ಎಗ್ರೆಸ್ ಟ್ರಿಪ್ ಎರಡಕ್ಕೂ ಬಳಸುವುದಿಲ್ಲ),5,0,No (ಇಲ್ಲ),100,Very high crowding - All seats AND most standing space occupied (ಅತಿ ಹೆಚ್ಚು ಜನಸಂದಣಿ - ಎಲ್ಲಾ ಆಸನಗಳು ಮತ್ತು ಬಹುತೇಕ ನಿಲ್ಲುವ ಜಾಗ ತುಂಬಿರುತ್ತದೆ),Female (ಹೆಣ್ಣು),Not eligible (ಅರ್ಹರಾಗಿಲ್ಲ),Metro (ಮೆಟ್ರೋ),Metro (ಮೆಟ್ರೋ),26-35yrs (26-35 ವರ್ಷ),Graduate (ಪದವಿ),Unemployed/Retired/Homemaker (ನಿರುದ್ಯೋಗಿ/ನಿವೃತ್ತ/ಮನೆಕೆಲಸ),,1,1,0,0
Rashtreeya Vidyalaya Road (green line),Rajajinagar (green line),Rashtriya vidyalaya road ,Social/Religious place (ಸಾಮಾಜಿಕ/ಧಾರ್ಮಿಕ ಸ್ಥಳ),"Rajajinagar,line park",Home (ಮನೆ),11:15:00,Metro (ಮೆಟ್ರೋ),45,Walk (ನಡಿಗೆ),2,< 0.5 km (<0.5 ಕೀ. ಮೀ),2,Dropped-off by friends/others (ಸ್ನೇಹಿತರು/ಇತರರಿಂದ ಡ್ರಾಪ್-ಆಫ್),15,1.5 km to 2 km (1.5 ರಿಂದ 2 ಕೀ. ಮೀ),2,For neither access nor egress trips (ಆಕ್ಸೆಸ್ ಟ್ರಿಪ್ ಮತ್ತು ಎಗ್ರೆಸ್ ಟ್ರಿಪ್ ಎರಡಕ್ಕೂ ಬಳಸುವುದಿಲ್ಲ),,,No (ಇಲ್ಲ),35,Medium crowding - All seats AND 25-50% of standing space occupied (ಮಧ್ಯಮ ಜನಸಂದಣಿ - ಎಲ್ಲಾ ಆಸನಗಳು ಮತ್ತು 25-50% ನಿಲ್ಲುವ ಜಾಗ ತುಂಬಿರುತ್ತದೆ),Male (ಪುರುಷ),,,Metro (ಮೆಟ್ರೋ),46-60 yrs (46-60 ವರ್ಷ),10th Std. (SSLC) (10ನೇ ತರಗತಿ (SSLC)),Employed Private (ಖಾಸಗಿ ಉದ್ಯೋಗ),"25,001 – 50,000",0,1,0,0
Vijayanagar (purple line),Konanakunte Cross (green line),"Vijaynagar 10 th cross , vijaynagar police station ",Home (ಮನೆ),"Bannerghatta,near green way restaurant ",Friend/Relative’s place (ಸ್ನೇಹಿತರ/ಸಂಬಂಧಿಕರ ಸ್ಥಳ),11:00:00,Metro (ಮೆಟ್ರೋ),45,Walk (ನಡಿಗೆ),10,0.5 to 1 km (0.5 ರಿಂದ 1 ಕೀ. ಮೀ),5,Walk (ನಡಿಗೆ),10,0.5 to 1 km (0.5 ರಿಂದ 1 ಕೀ. ಮೀ),,For both access and egress trips (ಆಕ್ಸೆಸ್ ಟ್ರಿಪ್ ಮತ್ತು ಎಗ್ರೆಸ್ ಟ್ರಿಪ್ ಗಾಗಿ),,,Metro card (ಮೆಟ್ರೋ ಕಾರ್ಡ್),0,Medium crowding - All seats AND 25-50% of standing space occupied (ಮಧ್ಯಮ ಜನಸಂದಣಿ - ಎಲ್ಲಾ ಆಸನಗಳು ಮತ್ತು 25-50% ನಿಲ್ಲುವ ಜಾಗ ತುಂಬಿರುತ್ತದೆ),Male (ಪುರುಷ),,,Metro (ಮೆಟ್ರೋ),18-25 yrs (18-25 ವರ್ಷ),Graduate (ಪದವಿ),Employed Private (ಖಾಸಗಿ ಉದ್ಯೋಗ),"1,00,001 – 2,00,000",0,2,0,0
National College (green line),Jayaprakash Nagar (green line),"Yelahanka,purva venezia",Friend/Relative’s place (ಸ್ನೇಹಿತರ/ಸಂಬಂಧಿಕರ ಸ್ಥಳ),"V v puram,subramanya temple",Home (ಮನೆ),11:40:00,Metro (ಮೆಟ್ರೋ),50,Walk (ನಡಿಗೆ),1,< 0.5 km (<0.5 ಕೀ. ಮೀ),2,Dropped-off by friends/others (ಸ್ನೇಹಿತರು/ಇತರರಿಂದ ಡ್ರಾಪ್-ಆಫ್),40,> 5 km (>5 ಕೀ. ಮೀ),0,For neither access nor egress trips (ಆಕ್ಸೆಸ್ ಟ್ರಿಪ್ ಮತ್ತು ಎಗ್ರೆಸ್ ಟ್ರಿಪ್ ಎರಡಕ್ಕೂ ಬಳಸುವುದಿಲ್ಲ),,,No (ಇಲ್ಲ),21,Medium crowding - All seats AND 25-50% of standing space occupied (ಮಧ್ಯಮ ಜನಸಂದಣಿ - ಎಲ್ಲಾ ಆಸನಗಳು ಮತ್ತು 25-50% ನಿಲ್ಲುವ ಜಾಗ ತುಂಬಿರುತ್ತದೆ),Male (ಪುರುಷ),,,Metro (ಮೆಟ್ರೋ),18-25 yrs (18-25 ವರ್ಷ),12th Std. (PUC/HSE) (12ನೇ ತರಗತಿ (PUC/HSE)),Student (ವಿದ್ಯಾರ್ಥಿ),"50,001 – 1,00,000",0,2,1,0
Kengeri (purple line),Baiyappanahalli (purple line),Byappanahalli Whitefield nexus mall,Other (ಇತರೆ),Kengeri christ college,Home (ಮನೆ),10:30:00,Bus + Metro (ಬಸ್+ಮೆಟ್ರೋ),120,Walk (ನಡಿಗೆ),5,0.5 to 1 km (0.5 ರಿಂದ 1 ಕೀ. ಮೀ),20,Auto Rickshaw (ಆಟೋರಿಕ್ಷಾ),20,4 km to 4.5 km (4 ರಿಂದ 4.5 ಕೀ. ಮೀ),5,For both access and egress trips (ಆಕ್ಸೆಸ್ ಟ್ರಿಪ್ ಮತ್ತು ಎಗ್ರೆಸ್ ಟ್ರಿಪ್ ಗಾಗಿ),5,5,Metro card (ಮೆಟ್ರೋ ಕಾರ್ಡ್),400,Low crowding - All seats AND up to 25% of standing space occupied (ಕಡಿಮೆ ಜನಸಂದಣಿ - ಎಲ್ಲಾ ಆಸನಗಳು ಮತ್ತು 25% ನಿಲ್ಲುವ ಜಾಗ ತುಂಬಿರುತ್ತದೆ),Female (ಹೆಣ್ಣು),Not eligible (ಅರ್ಹರಾಗಿಲ್ಲ),Bus + Metro (ಬಸ್+ಮೆಟ್ರೋ),Bus and Metro (ಬಸ್ ಮತ್ತು ಮೆಟ್ರೋ),18-25yrs (18-25 ವರ್ಷ),Graduate (ಪದವಿ),Student (ವಿದ್ಯಾರ್ಥಿ),,0,0,0,0
Rajajinagar (green line),Konanakunte Cross (green line),"Vidyaranpura, 1st block, BEL near",Work/Business place (ಕೆಲಸ/ವ್ಯಾಪಾರದ ಸ್ಥಳ),"Konankunte cross, manasa theatre near",Other (ಇತರೆ),10:30:00,Bus + Metro (ಬಸ್+ಮೆಟ್ರೋ),120,Walk (ನಡಿಗೆ),2,< 0.5 km (<0.5 ಕೀ. ಮೀ),5,Walk (ನಡಿಗೆ),5,< 0.5 km (<0.5 ಕೀ. ಮೀ),,For neither access nor egress trips (ಆಕ್ಸೆಸ್ ಟ್ರಿಪ್ ಮತ್ತು ಎಗ್ರೆಸ್ ಟ್ರಿಪ್ ಎರಡಕ್ಕೂ ಬಳಸುವುದಿಲ್ಲ),2,5,"Ordinary Day Pass (ಆರ್ಡಿನರಿ ಡೇ ಪಾಸ್), Metro card (ಮೆಟ್ರೋ ಕಾರ್ಡ್)",0,Medium crowding - All seats AND 25-50% of standing space occupied (ಮಧ್ಯಮ ಜನಸಂದಣಿ - ಎಲ್ಲಾ ಆಸನಗಳು ಮತ್ತು 25-50% ನಿಲ್ಲುವ ಜಾಗ ತುಂಬಿರುತ್ತದೆ),Male (ಪುರುಷ),,,Bus and Metro (ಬಸ್ ಮತ್ತು ಮೆಟ್ರೋ),18-25 yrs (18-25 ವರ್ಷ),Graduate (ಪದವಿ),Employed Private (ಖಾಸಗಿ ಉದ್ಯೋಗ),"10,001 – 25,000",0,1,0,0
Banashankari (green line),Doddakallasandra (green line),Doddakalasandra kuvempu nagar,Home (ಮನೆ),"JP nagar,2nd phase,central mall",Home (ಮನೆ),11:30:00,Bus + Metro (ಬಸ್+ಮೆಟ್ರೋ),30,Walk (ನಡಿಗೆ),10,< 0.5 km (<0.5 ಕೀ. ಮೀ),5,Walk (ನಡಿಗೆ),10,< 0.5 km (<0.5 ಕೀ. ಮೀ),,For both access and egress trips (ಆಕ್ಸೆಸ್ ಟ್ರಿಪ್ ಮತ್ತು ಎಗ್ರೆಸ್ ಟ್ರಿಪ್ ಗಾಗಿ),2,2,No (ಇಲ್ಲ),23,Low crowding - All seats AND up to 25% of standing space occupied (ಕಡಿಮೆ ಜನಸಂದಣಿ - ಎಲ್ಲಾ ಆಸನಗಳು ಮತ್ತು 25% ನಿಲ್ಲುವ ಜಾಗ ತುಂಬಿರುತ್ತದೆ),Male (ಪುರುಷ),,,Metro (ಮೆಟ್ರೋ),18-25 yrs (18-25 ವರ್ಷ),12th Std. (PUC/HSE) (12ನೇ ತರಗತಿ (PUC/HSE)),Student (ವಿದ್ಯಾರ್ಥಿ),>2 Lakhs,0,2,0,0
Sandal Soap Factory (green line),Indiranagar (purple line),"Indranagar,truffles",Restaurant (ರೆಸ್ಟೋರೆಂಟ್),"Sandalsoap, Orion mall",Home (ಮನೆ),11:10:00,Metro (ಮೆಟ್ರೋ),60,Walk (ನಡಿಗೆ),15,1 km to 1.5 km (1 ರಿಂದ 1.5 ಕೀ. ಮೀ),5,Walk (ನಡಿಗೆ),5,"< 0.5 km (<0.5 ಕೀ. ಮೀ,)",,For neither access nor egress trips (ಆಕ್ಸೆಸ್ ಟ್ರಿಪ್ ಮತ್ತು ಎಗ್ರೆಸ್ ಟ್ರಿಪ್ ಎರಡಕ್ಕೂ ಬಳಸುವುದಿಲ್ಲ),,,Metro card (ಮೆಟ್ರೋ ಕಾರ್ಡ್),0,No crowding  - Most (>75%) seats occupied (ಜನಸಂದಣಿ ಇರುವುದಿಲ್ಲ - 75% ಗಿ೦ತ ಹೆಚ್ಚು ಆಸನಗಳು ತುಂಬಿರುತ್ತವೆ),Female (ಹೆಣ್ಣು),,,Metro (ಮೆಟ್ರೋ),18-25 yrs (18-25 ವರ್ಷ),Graduate (ಪದವಿ),Employed Private (ಖಾಸಗಿ ಉದ್ಯೋಗ),,1,0,0,0
Vijayanagar (purple line),Baiyappanahalli (purple line),Byappanahalli tin factory ,Home (ಮನೆ),Vijaynagar karyasiddi temple,Social/Religious place (ಸಾಮಾಜಿಕ/ಧಾರ್ಮಿಕ ಸ್ಥಳ),11:30:00,Metro + Bus (ಮೆಟ್ರೋ+ಬಸ್),90,Auto Rickshaw (ಆಟೋರಿಕ್ಷಾ),20,3 km to 3.5 km (3 ರಿಂದ 3.5 ಕೀ. ಮೀ),5,Walk (ನಡಿಗೆ),10,0.5 to 1 km (0.5 ರಿಂದ 1 ಕೀ. ಮೀ),,For both access and egress trips (ಆಕ್ಸೆಸ್ ಟ್ರಿಪ್ ಮತ್ತು ಎಗ್ರೆಸ್ ಟ್ರಿಪ್ ಗಾಗಿ),3,15,Metro card (ಮೆಟ್ರೋ ಕಾರ್ಡ್),200,Low crowding - All seats AND up to 25% of standing space occupied (ಕಡಿಮೆ ಜನಸಂದಣಿ - ಎಲ್ಲಾ ಆಸನಗಳು ಮತ್ತು 25% ನಿಲ್ಲುವ ಜಾಗ ತುಂಬಿರುತ್ತದೆ),Female (ಹೆಣ್ಣು),Yes (ಹೌದು),Bus + Metro (ಬಸ್+ಮೆಟ್ರೋ),Bus and Metro (ಬಸ್ ಮತ್ತು ಮೆಟ್ರೋ),26-35yrs (26-35 ವರ್ಷ),Graduate (ಪದವಿ),Employed Private (ಖಾಸಗಿ ಉದ್ಯೋಗ),"50,001 – 1,00,000",2,1,0,0
"Nadaprabhu Kempegowda Station, Majestic (green/purple line)",Silk Institute (green line),Hotel swadeshi ,Work/Business place (ಕೆಲಸ/ವ್ಯಾಪಾರದ ಸ್ಥಳ),Moti Mahal ,Work/Business place (ಕೆಲಸ/ವ್ಯಾಪಾರದ ಸ್ಥಳ),11:32:00,Metro (ಮೆಟ್ರೋ),30,Walk (ನಡಿಗೆ),10,0.5 to 1 km (0.5 ರಿಂದ 1 ಕೀ. ಮೀ),5,Walk (ನಡಿಗೆ),10,0.5 to 1 km (0.5 ರಿಂದ 1 ಕೀ. ಮೀ),,For neither access nor egress trips (ಆಕ್ಸೆಸ್ ಟ್ರಿಪ್ ಮತ್ತು ಎಗ್ರೆಸ್ ಟ್ರಿಪ್ ಎರಡಕ್ಕೂ ಬಳಸುವುದಿಲ್ಲ),,,No (ಇಲ್ಲ),42,High crowding - All seats AND 50-75% of standing space occupied (ಹೆಚ್ಚಿನ ಜನಸಂದಣಿ - ಎಲ್ಲಾ ಆಸನಗಳು ಮತ್ತು 50-75% ನಿಲ್ಲುವ ಜಾಗ ತುಂಬಿರುತ್ತದೆ),Male (ಪುರುಷ),,,Metro (ಮೆಟ್ರೋ),46-60 yrs (46-60 ವರ್ಷ),Graduate (ಪದವಿ),Business (ವ್ಯಾಪಾರ),,0,1,0,0
Silk Institute (green line),Indiranagar (purple line),HAL sports club ,Other (ಇತರೆ),"Shobha hill view, thalgatpura ",Home (ಮನೆ),12:10:00,Metro (ಮೆಟ್ರೋ),80,Bicycle (ಸೈಕಲ್),8,1 km to 1.5 km (1 ರಿಂದ 1.5 ಕೀ. ಮೀ),5,Auto Rickshaw (ಆಟೋರಿಕ್ಷಾ),10,2.5 km to 3 km (2.5 ರಿಂದ 3 ಕೀ. ಮೀ),5,For access trip only (ಆಕ್ಸೆಸ್ ಟ್ರಿಪ್ ಗಾಗಿ ಮಾತ್ರ),,,Metro card (ಮೆಟ್ರೋ ಕಾರ್ಡ್),0,No crowding  - 25-50% of seats occupied (ಜನಸಂದಣಿ ಇರುವುದಿಲ್ಲ - 25-50% ಆಸನಗಳು ತುಂಬಿರುತ್ತವೆ),Male (ಪುರುಷ),,,Metro (ಮೆಟ್ರೋ),18-25 yrs (18-25 ವರ್ಷ),12th Std. (PUC/HSE) (12ನೇ ತರಗತಿ (PUC/HSE)),Student (ವಿದ್ಯಾರ್ಥಿ),,1,1,1,0
Silk Institute (green line),Rajarajeshwari Nagar (purple line),Rajarajeshwari Temple ,Social/Religious place (ಸಾಮಾಜಿಕ/ಧಾರ್ಮಿಕ ಸ್ಥಳ),"Somanahalli,near government school",Home (ಮನೆ),11:30:00,Bus + Metro (ಬಸ್+ಮೆಟ್ರೋ),90,Walk (ನಡಿಗೆ),10,0.5 to 1 km (0.5 ರಿಂದ 1 ಕೀ. ಮೀ),5,Walk (ನಡಿಗೆ),10,< 0.5 km (<0.5 ಕೀ. ಮೀ),,For both access and egress trips (ಆಕ್ಸೆಸ್ ಟ್ರಿಪ್ ಮತ್ತು ಎಗ್ರೆಸ್ ಟ್ರಿಪ್ ಗಾಗಿ),5,3,Mobility card (ಮೊಬಿಲಿಟಿ ಕಾರ್ಡ್),0,No crowding - Less than 25% of seats occupied (ಜನಸಂದಣಿ ಇರುವುದಿಲ್ಲ - 25% ಗಿ೦ತ ಕಡಿಮೆ ಆಸನಗಳು ತುಂಬಿರುತ್ತವೆ),Female (ಹೆಣ್ಣು),Yes (ಹೌದು),Metro (ಮೆಟ್ರೋ),Metro (ಮೆಟ್ರೋ),18-25yrs (18-25 ವರ್ಷ),Postgraduate (ಸ್ನಾತಕೋತ್ತರ ಪದವಿ),Unemployed/Retired/Homemaker (ನಿರುದ್ಯೋಗಿ/ನಿವೃತ್ತ/ಮನೆಕೆಲಸ),,0,1,1,0
Baiyappanahalli (purple line),Mantri Square Sampige Road (green line),Mantri square malleswaram 18th,Shopping place (ಶಾಪಿಂಗ್ ಕೇಂದ್ರ),Marathalli kalamandir,Home (ಮನೆ),11:30:00,Bus + Metro (ಬಸ್+ಮೆಟ್ರೋ),120,Walk (ನಡಿಗೆ),5,< 0.5 km (<0.5 ಕೀ. ಮೀ),2,Walk (ನಡಿಗೆ),25,1.5 km to 2 km (1.5 ರಿಂದ 2 ಕೀ. ಮೀ),,For both access and egress trips (ಆಕ್ಸೆಸ್ ಟ್ರಿಪ್ ಮತ್ತು ಎಗ್ರೆಸ್ ಟ್ರಿಪ್ ಗಾಗಿ),10,5,Metro card (ಮೆಟ್ರೋ ಕಾರ್ಡ್),0,No crowding  - Most (>75%) seats occupied (ಜನಸಂದಣಿ ಇರುವುದಿಲ್ಲ - 75% ಗಿ೦ತ ಹೆಚ್ಚು ಆಸನಗಳು ತುಂಬಿರುತ್ತವೆ),Female (ಹೆಣ್ಣು),Yes (ಹೌದು),Bus + Metro (ಬಸ್+ಮೆಟ್ರೋ),Bus and Metro (ಬಸ್ ಮತ್ತು ಮೆಟ್ರೋ),26-35yrs (26-35 ವರ್ಷ),Graduate (ಪದವಿ),Employed Private (ಖಾಸಗಿ ಉದ್ಯೋಗ),,0,0,0,0
Pattandur Agrahara (purple line),Mahalakshmi (green line),Iskon temple,Social/Religious place (ಸಾಮಾಜಿಕ/ಧಾರ್ಮಿಕ ಸ್ಥಳ),"Ecc road,kadugudi",Home (ಮನೆ),11:30:00,Metro1 + Bus + Metro2 (ಮೆಟ್ರೋ1 + ಬಸ್  + ಮೆಟ್ರೋ2),60,Auto Rickshaw (ಆಟೋರಿಕ್ಷಾ),5,2 km to 2.5 km (2 ರಿಂದ 2.5 ಕೀ. ಮೀ),2,Walk (ನಡಿಗೆ),2,< 0.5 km (<0.5 ಕೀ. ಮೀ),,For access trip only (ಆಕ್ಸೆಸ್ ಟ್ರಿಪ್ ಗಾಗಿ ಮಾತ್ರ),2,2,No (ಇಲ್ಲ),125,No crowding  - 25-50% of seats occupied (ಜನಸಂದಣಿ ಇರುವುದಿಲ್ಲ - 25-50% ಆಸನಗಳು ತುಂಬಿರುತ್ತವೆ),Female (ಹೆಣ್ಣು),Not eligible (ಅರ್ಹರಾಗಿಲ್ಲ),Bus + Metro (ಬಸ್+ಮೆಟ್ರೋ),Bus and Metro (ಬಸ್ ಮತ್ತು ಮೆಟ್ರೋ),18-25yrs (18-25 ವರ್ಷ),Graduate (ಪದವಿ),Employed Private (ಖಾಸಗಿ ಉದ್ಯೋಗ),"50,001 – 1,00,000",0,0,0,0
