,M_ORIGIN,M_DESTINATION,D_LANDMARK,D_TYPE,O_LANDMARK,O_TYPE,START_TIME,TRIP_SEQUENCE,TOTAL_TIME,ACCESS_MODE,ACCESS_TIME,ACCESS_DISTANCE,WT_FS,EGRESS_MODE,EGRESS_TIME,EGRESS_DISTANCE,WT_FIS,BICYCLE_USE,TRANSFER_TIME,WAITING_TIME_SECOND_STOP,PASS,TOTAL_COST,CROWDING,GENDER,S_1,S_2,S_3,AGE,EDUCATION,OCCUPATION,INCOME,CARS,TWO_WHEELER,N_BICYCLES,OTHERS,PARKING,RENT,PARK,DESTINATION,ORIGIN,TRIP,AGE_C,ACCESS_DIS,EGRESS_DIS,RENT_BICYCLE,MALE,ACCESS_M,EGRESS_M
654,,Central college to pattanagere,Global village,Work,Vivesveshwarayya college,School,09:00:00,Metro ,30,Walk ,2,< 0.5 km ,5,Ola/Uber car ,10,1.5 km to 2 km ,0,For neither access nor egress trips ,,,Metro card ,33,Low crowding - All seats AND up to 25% of standing space occupied ,Male,,,Metro ,18-25 yrs ,Graduate,Employed,"25,001 – 50,000",0.0,0,0,0,0,10,-1,2,3,1,1,1,2,1,1,1,6
655,Majestic,,"Hp office mahadevpura, near singanna pallas metro station",Work,"17thmain,17th cross Narayan Nagar 2nd block",Home,08:40:00,Metro ,100,Two-Wheeler ,10,1.5 km to 2 km ,5,Office cab,40,> 5 km ,3,For both access and egress trips ,,,Metro card ,0,Very high crowding - All seats AND most standing space occupied ,Male,,,Metro ,18-25 yrs ,Graduate,Employed,>2 Lakhs,1.0,1,1,0,0,10,-1,2,1,1,1,2,8,3,1,3,10
656,,Yeswatpur majestic ,Global village Peta nagari,Home,Near D gate Iisc Mathikere,Home,08:30:00,Metro ,45,Auto Rickshaw ,10,2 km to 2.5 km ,2,Auto Rickshaw ,10,1.5 km to 2 km ,2,For both access and egress trips ,,,Metro card ,120,Low crowding - All seats AND up to 25% of standing space occupied ,Male,,,Metro ,26-35 yrs ,Graduate,Employed,>2 Lakhs,0.0,0,0,0,0,10,-1,1,1,1,2,11,2,3,1,5,5
657,,Nagasandra-Silk institute,Kadubesanahalli,Work,Dasarahalli,Friend,08:00:00,Bus + Metro ,120,Walk ,10,0.5 to 1 km ,10,Walk ,90,> 5 km ,,For access trip only ,5,4,Metro card ,160,High crowding - All seats AND 50-75% of standing space occupied ,Male,,,Bus and Metro ,26-35 yrs ,Graduate,Employed,"1,00,001 – 2,00,000",1.0,2,0,0,0,10,-1,2,7,2,2,3,8,2,1,1,1
658,,Silk institute to Nagasandra ,"K r market,Minto eye hospital ",Work,Kanakapura,Home,08:00:00,Bus + Metro ,120,Two-Wheeler ,5,2.5 km to 3 km ,30,Walk ,10,0.5 to 1 km ,,For egress trip only ,1,10,Ordinary Monthly Pass ,38,Medium crowding - All seats AND 25-50% of standing space occupied ,Male,,,Bus ,26-35 yrs ,Graduate,Employed,"25,001 – 50,000",0.0,1,0,0,0,10,-1,2,1,2,2,7,3,4,1,3,1
659,,Silkinstitute,Malleshwaram 5 th cross,Work,"Thalagantapura, judicial layout",Home,09:30:00,Metro ,40,Two-Wheeler ,6,0.5 to 1 km ,5,Walk ,10,0.5 to 1 km ,,For both access and egress trips ,,,Metro card ,30,No crowding  - 25-50% of seats occupied ,Female,,,Metro ,26-35 yrs ,Trade,Employed,,0.0,1,1,0,0,10,-1,2,1,1,2,3,3,3,0,3,1
660,Banashankari,,Forum,Shopping,E city,Home,08:30:00,Bus + Metro ,75,Walk ,20,1.5 km to 2 km ,20,Walk ,5,< 0.5 km ,,For access trip only ,5,5,Metro card ,150,Very high crowding - All seats AND most standing space occupied ,Male,,,I was not making this trip ,18-25 yrs ,12th,Unemployed,"<=10,000",1.0,1,1,0,0,10,-1,4,1,2,1,2,1,2,1,1,1
661,,Konnankunte cross,"Samuktha kanata office, presidency road",Work,Mahalaxmi temple konnankunte cross,School,09:35:00,Metro + Bus ,45,Walk ,10,0.5 to 1 km ,3,Walk ,3,< 0.5 km ,,For neither access nor egress trips ,5,0,No ,35,High crowding - All seats AND 50-75% of standing space occupied ,Female,Yes ,Bus ,Bus ,36-45yrs ,12th,Employed,,0.0,0,0,0,0,10,-1,2,3,3,3,3,1,1,0,1,1
662,,Nagasandra-Silk board,"Dayananda sagar institute,  J P Nagar",School,6th cross Audugodi MG road,Home,08:00:00,Bus + Metro ,125,Walk ,17,1 km to 1.5 km ,20,Walk ,15,1.5 km to 2 km ,,For both access and egress trips ,15,4,No ,100,Low crowding - All seats AND up to 25% of standing space occupied ,Male,,,Bus and Metro ,18-25 yrs ,Graduate,Student,"1,00,001 – 2,00,000",2.0,2,1,0,0,10,-1,3,1,2,1,4,2,3,1,1,1
663,,Silk institute to Nagasandra ,"City market,fort kr road",Work,"Doddakalasandra,guballa",Home,09:30:00,Metro ,20,Two-Wheeler ,5,1 km to 1.5 km ,5,Walk ,5,< 0.5 km ,,For access trip only ,,,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Male,,,Metro ,46-60 yrs ,Graduate,Employed,"50,001 – 1,00,000",0.0,1,0,0,0,10,-1,2,1,1,4,4,1,2,1,3,1
664,,RV road,Kannada sahithya parishes near makkah kuuta,Work,Saudhamin layout towards kankpura road,Home,09:00:00,Bus + Metro ,60,Walk ,7,< 0.5 km ,5,Walk ,10,0.5 to 1 km ,,For neither access nor egress trips ,3,2,Metro card ,0,Low crowding - All seats AND up to 25% of standing space occupied ,Female,Yes ,Bus ,Bus ,46-60yrs ,Graduate,Employed,,0.0,0,0,0,0,10,-1,2,1,2,4,1,3,1,0,1,1
665,,Nagasandra-Silk institute,Vajarahalli,Work,Nagasandara,Home,09:00:00,Metro ,60,Walk ,10,< 0.5 km ,5,Walk ,10,< 0.5 km ,,For neither access nor egress trips ,,,No ,60,Medium crowding - All seats AND 25-50% of standing space occupied ,Male,,,Metro ,18-25 yrs ,12th,Employed,"10,001 – 25,000",0.0,1,0,0,0,10,-1,2,1,1,1,1,1,1,1,1,1
666,,Bayyappan to kengeri,Guttahalli,Work,Bayyappanahalli,Home,09:40:00,Metro + Bus ,60,Walk ,15,1 km to 1.5 km ,3,Walk ,15,1 km to 1.5 km ,,For both access and egress trips ,1,15,Metro card ,30,No crowding  - 25-50% of seats occupied ,Male,,,Bus and Metro ,26-35 yrs ,Postgraduate,Employed,"50,001 – 1,00,000",0.0,1,0,0,0,10,-1,2,1,3,2,4,4,3,1,1,1
667,,Majestic to byapnahalli,Vidhan saudha high court,Work,Hoskote ,Home,08:45:00,Bus + Metro ,75,Walk ,2,1 km to 1.5 km ,1,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,2,5,No ,75,No crowding  - 25-50% of seats occupied ,Male,,,Bus ,46-60 yrs ,Graduate,Employed,"50,001 – 1,00,000",1.0,2,0,0,0,10,-1,2,1,2,4,4,1,1,1,1,1
668,,Silk institute to Nagasandra ,Jindal nagasandra ,Work,"Lalbagh, national college ",Work,10:01:00,Metro ,50,Walk ,15,1 km to 1.5 km ,5,Dropped-off by friends/others ,10,2 km to 2.5 km ,0,For both access and egress trips ,,,No ,90,Medium crowding - All seats AND 25-50% of standing space occupied ,Male,,,Metro ,26-35 yrs ,Graduate,Employed,"1,00,001 – 2,00,000",0.0,1,0,0,0,10,-1,2,2,1,2,4,11,3,1,1,8
669,Byapanahalli,,"Kengeri, rajarajeshwari medical College 
",School,Kr puram railway station,Home,09:45:00,Bus ,60,Walk,20,0.5 to 1 km ,30,Walk ,10,0.5 km to 1 km ,,For egress trip only ,,,Student Pass ,0,High crowding - All seats AND 50-75% of standing space occupied ,Female,Yes ,Bus ,Bus ,18-25yrs ,Postgraduate,Student,"50,001 – 1,00,000",1.0,1,0,0,0,10,-1,3,1,0,1,3,0,4,0,1,1
670,Vajarahalli,,Ulsor,Work,Vajrahalli,Home,10:00:00,Metro ,45,Walk ,5,< 0.5 km ,5,Walk ,10,< 0.5 km ,,For egress trip only ,,,Metro card ,90,Medium crowding - All seats AND 25-50% of standing space occupied ,Male,,,I was not making this trip ,46-60 yrs ,Postgraduate,Employed,"50,001 – 1,00,000",1.0,1,2,0,0,10,-1,2,1,1,4,1,1,4,1,1,1
671,,Majestic,Peenya industries ,Work,Cotton road majestic ,Other,10:00:00,Metro ,30,Walk ,5,0.5 to 1 km ,2,Walk ,10,0.5 to 1 km ,,For neither access nor egress trips ,,,No ,30,Medium crowding - All seats AND 25-50% of standing space occupied ,Male,,,Metro ,46-60 yrs ,Graduate,Employed,,1.0,1,0,0,0,10,-1,2,8,1,4,3,3,1,1,1,1
672,,Silk institute to Nagasandra ,"Sandal soap factory,Orion mall ",Work,"JP nagar 7th phase,Apollo hospital ",Home,09:50:00,Metro ,25,Two-Wheeler ,10,3 km to 3.5 km ,3,Walk ,5,0.5 to 1 km ,,For neither access nor egress trips ,,,Metro card ,80,No crowding  - Most ,Male,,,Metro ,18-25 yrs ,Postgraduate,Employed,,0.0,1,0,0,0,10,-1,2,1,1,1,5,3,1,1,3,1
673,Kengeri to byp BYP,,"Cubbon PARK
",Work,Buttra halli DC palya,Home,09:00:00,Bus + Metro ,90,Walk ,15,1 km to 1.5 km ,2,Walk ,3,< 0.5 km ,,For both access and egress trips ,7,3,No ,50,High crowding - All seats AND 50-75% of standing space occupied ,Female,Yes ,Bus + Metro ,Bus and Metro ,46-60yrs ,Graduate,Employed,>2 Lakhs,1.0,1,0,0,0,10,-1,2,1,2,4,4,1,3,0,1,1
674,,Banashankari to gurugunta,Taj Yeshwanthpur ,Work,Bus stop,Home,09:45:00,Metro ,60,Two-Wheeler ,10,0.5 to 1 km ,2,Walk ,5,0.5 to 1 km ,,For neither access nor egress trips ,,,Metro card ,120,Medium crowding - All seats AND 25-50% of standing space occupied ,Male,,,Metro ,26-35 yrs ,Trade,Employed,,0.0,1,0,0,0,10,-1,2,1,1,2,3,3,1,1,3,1
675,,Nagasandra-Silk board,"Vajarahalli, near Dmart",Friend,"Doddaballapura, IB circle",Home,06:30:00,Bus + Metro ,270,Walk ,5,0.5 to 1 km ,7,Walk ,2,< 0.5 km ,,For access trip only ,5,5,Ordinary Monthly Pass ,0,No crowding  - 25-50% of seats occupied ,Male,,,Bus ,26-35 yrs ,Postgraduate,Employed,"50,001 – 1,00,000",0.0,1,0,0,0,10,-1,7,1,2,2,3,1,2,1,1,1
676,,Silk institute to Nagasandra ,"Dasarahalli,soldevhalli",School,"Rajajinagar,mariappan palaya park",Home,10:10:00,Metro + Bus ,60,Walk ,5,0.5 to 1 km ,4,Walk ,30,3.5 km to 4 km ,,For both access and egress trips ,2,15,Metro card ,20,Medium crowding - All seats AND 25-50% of standing space occupied ,Male,,,Bus and Metro ,18-25 yrs ,Graduate,Employed,"50,001 – 1,00,000",0.0,1,0,0,0,10,-1,3,1,3,1,3,9,3,1,1,1
677,,Majestic to byapnahalli ,Pes college,School,Kr puram 560075,Home,09:30:00,Metro + Bus ,75,Two-Wheeler ,10,> 5 km ,5,Walk ,2,< 0.5 km ,,For access trip only ,2,2,No ,120,No crowding  - 25-50% of seats occupied ,Male,,,Metro ,18-25 yrs ,12th,Student,,1.0,1,0,0,0,10,-1,3,1,3,1,8,1,2,1,3,1
678,,SILK INSTITUTE - NAGASANDRA,Basavannagudi,Friend,Yelchanahalli,Home,10:20:00,Metro ,45,Walk ,20,0.5 to 1 km ,10,Auto Rickshaw ,30,1 km to 1.5 km ,10,For neither access nor egress trips ,,,No ,40,No crowding  - Most ,Male,,,Metro ,18-25 yrs ,Postgraduate,Student,"10,001 – 25,000",1.0,0,0,0,0,10,-1,7,1,1,1,3,4,1,1,1,5
679,Byp,,Cubbon Park mallige hospital ,Friend,Sadanad nagar near metro,Home,10:00:00,Metro ,60,Auto Rickshaw ,5,0.5 to 1 km ,6,Auto Rickshaw ,10,0.5 to 1 km ,2,For both access and egress trips ,,,Metro card ,50,High crowding - All seats AND 50-75% of standing space occupied ,Female,,,Auto Rickshaw ,18-25 yrs ,12th,Student,,2.0,0,0,0,0,10,-1,7,1,1,1,3,3,3,0,5,5
680,Byapanahalli ,,"Cubbon park,mallige hospital",Friend,Sadananda nagar Ngef Unnati centre,Home,10:00:00,Metro ,50,Walk ,10,0.5 to 1 km ,10,Auto Rickshaw ,20,1 km to 1.5 km ,2,For both access and egress trips ,,,No ,80,No crowding - Less than 25% of seats occupied ,Female,,,Ola/Uber car ,18-25 yrs ,12th,Student,,1.0,2,0,0,0,10,-1,7,1,1,1,3,4,3,0,1,5
681,,Peenya industries ,Nagasandra,Work,"Lalbagh,kormangala",Home,09:30:00,Metro ,75,Car ,25,> 5 km ,5,Ola/Uber car ,10,4 km to 4.5 km ,0,For neither access nor egress trips ,,,Metro card ,0,Low crowding - All seats AND up to 25% of standing space occupied ,Male,,,Metro ,> 60 yrs ,10th,Business,,2.0,0,0,0,0,10,-1,2,1,1,5,8,10,1,1,4,6
682,,Bayyappanahalli to kengeri ,Karyasidhi temple deepanjali nagar,Social,KR puram,Home,09:15:00,Bus1 + Metro + Bus2 ,45,Two-Wheeler ,10,2 km to 2.5 km ,5,Auto Rickshaw ,15,4.5 km to 5 km ,1,For neither access nor egress trips ,2,5,Metro card ,180,No crowding  - 50-75% of seats occupied ,Female,Yes ,Bus + Metro ,Bus and Metro ,46-60yrs ,Graduate,Business,"25,001 – 50,000",2.0,2,1,0,0,10,-1,6,1,4,4,11,6,1,0,3,5
683,,Majestic to byapnahalli ,Patanagere 560059,Work,Indira nagar metro wtation,Other,10:00:00,Metro ,45,Auto Rickshaw ,10,2 km to 2.5 km ,10,Auto Rickshaw ,15,3.5 km to 4 km ,2,For access trip only ,,,Metro card ,55,No crowding - Less than 25% of seats occupied ,Male,,,Metro ,26-35 yrs ,Postgraduate,Employed,,1.0,1,0,0,0,10,-1,2,8,1,2,11,9,2,1,5,5
684,Nagasandra ,,Mount Carmel college,School,Chinmai enterprise anchepalya,Home,10:00:00,Bus + Metro ,60,Two-Wheeler ,10,< 0.5 km ,5,Auto Rickshaw ,15,2 km to 2.5 km ,0,For neither access nor egress trips ,0,10,Metro card ,20,High crowding - All seats AND 50-75% of standing space occupied ,Female,Yes ,Bus ,Bus ,18-25yrs ,12th,Student,,0.0,1,0,0,0,10,-1,3,1,2,1,1,11,1,0,3,5
685,,Bayyappanahalli to kengeri ,Kengeri ,Friend,Whitefield ,Home,08:40:00,Metro ,140,Car ,60,> 5 km ,3,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,,,No ,60,No crowding  - 25-50% of seats occupied ,Male,,,Metro ,36-45 yrs ,Doctorate,Employed,>2 Lakhs,2.0,0,0,0,0,10,-1,7,1,1,3,8,1,1,1,4,1
686,,Silk institute-Nagasandra,"Kurubarahalli, near L G showroom",Shopping,"Kanakapura, basaveshwaranagar, water tank",Home,09:30:00,Bus + Metro ,105,Two-Wheeler ,5,1.5 km to 2 km ,8,Auto Rickshaw ,10,2 km to 2.5 km ,3,For both access and egress trips ,1,4,No ,145,No crowding  - 50-75% of seats occupied ,Male,,,Bus and Metro ,26-35 yrs ,12th,Employed,"25,001 – 50,000",0.0,1,0,0,0,10,-1,4,1,2,2,2,11,3,1,3,5
687,,SILK INSTITUTE-NAGASANDRA,Sim,Social,Banashankari ,Home,10:15:00,Bus + Metro ,60,Walk ,2,< 0.5 km ,15,Walk ,20,< 0.5 km ,,For both access and egress trips ,2,5,No ,110,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,Eligible but do not use ,Metro ,Bus ,18-25yrs ,Graduate,Student,"25,001 – 50,000",0.0,1,0,0,0,10,-1,6,1,2,1,1,1,3,0,1,1
688,Jallahalli,,"Indranagar, business park",Work,"Laggere, parvathi nagar",Home,10:15:00,Bus1 + Metro + Bus2 ,105,Walk ,5,< 0.5 km ,5,Walk ,10,< 0.5 km ,,For both access and egress trips ,3,5,Metro card ,20,Very high crowding - All seats AND most standing space occupied ,Male,,,Bus ,18-25 yrs ,Postgraduate,Employed,,1.0,1,1,0,0,10,-1,2,1,4,1,1,1,3,1,1,1
689,,Kengeri to bayyappanahalli ,Mantri square mall,Shopping,Kengeri,Home,10:45:00,Metro ,30,Two-Wheeler ,10,3.5 km to 4 km ,5,Walk ,2,< 0.5 km ,,For neither access nor egress trips ,,,Metro card ,0,No crowding - Less than 25% of seats occupied ,Male,,,Metro ,26-35 yrs ,Postgraduate,Employed,"25,001 – 50,000",1.0,1,0,0,0,10,-1,4,1,1,2,9,1,1,1,3,1
690,,Silk institute-Nagasandra,Sarjapura road near eco world,Work,"Thalgatpura, bangalore one vajarahalli",Home,10:37:00,Metro ,113,Two-Wheeler ,3,0.5 to 1 km ,3,Dropped-off by friends/others ,90,> 5 km ,5,For access trip only ,,,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Male,,,Metro ,46-60 yrs ,Postgraduate,Employed,"1,00,001 – 2,00,000",1.0,1,1,0,0,10,-1,2,1,1,4,3,8,2,1,3,8
691,,Kengeri to byapnahalli ,Majestic bus stand,Other,Kengeri ansipalaya,Other,10:30:00,Bus metro metro,90,Walk ,5,< 0.5 km ,10,Auto Rickshaw ,10,3 km to 3.5 km ,2,For egress trip only ,5,5,No ,200,No crowding - Less than 25% of seats occupied ,Female,Eligible but do not use ,Bus metro metro,Bus ,18-25yrs ,Graduate,Student,"<=10,000",1.0,0,0,0,0,10,-1,8,8,0,1,1,5,4,0,1,5
692,,Kengeri to bayyappanahalli ,Chickpette,Other,Mandya,Home,08:30:00,Bus + Metro ,180,Bicycle ,15,0.5 to 1 km ,5,Rapido/Uber Moto/Ola two-wheeler ,5,0.5 to 1 km ,5,For egress trip only ,5,5,Metro card ,0,No crowding - Less than 25% of seats occupied ,Female,Yes ,Bus + Metro ,Bus and Metro ,18-25yrs ,Postgraduate,Employed,"25,001 – 50,000",1.0,1,2,0,0,10,-1,8,1,2,1,3,3,4,0,2,7
693,,NAGASANDRA-SILK institute,Orion mall,Work,Peenya,Home,11:00:00,Metro ,30,Walk ,10,< 0.5 km ,10,Walk ,10,< 0.5 km ,,For access trip only ,,,Metro card ,15,Medium crowding - All seats AND 25-50% of standing space occupied ,Male,,,Metro ,26-35 yrs ,Graduate,Employed,>2 Lakhs,0.0,0,0,0,0,10,-1,2,1,1,2,1,1,2,1,1,1
694,,silk institute-Nagasandra ,Orion mall near soap factory,Shopping,Jayanagar 11th main road,Home,10:48:00,Metro ,40,Walk ,20,2 km to 2.5 km ,10,Walk ,7,< 0.5 km ,,For neither access nor egress trips ,,,No ,38,No crowding  - 50-75% of seats occupied ,Male,,,I was not making this trip ,18-25 yrs ,Graduate,Student,"<=10,000",0.0,0,0,0,0,10,-1,4,1,1,1,11,1,1,1,1,1
695,,Kengeri to bayyappanahalli ,"Majestic , Anantha circle",Work,Rr nagar,Home,11:00:00,Metro ,45,Two-Wheeler ,10,1.5 km to 2 km ,5,Walk ,10,1 km to 1.5 km ,,For both access and egress trips ,,,Metro card ,0,No crowding - Less than 25% of seats occupied ,Male,,,Metro ,36-45 yrs ,Postgraduate,Employed,"50,001 – 1,00,000",0.0,0,1,0,0,10,-1,2,1,1,3,2,4,3,1,3,1
696,,Kengeri to byapnahalli ,Majestic railway STATION ,Other,Nyandhalli,Home,08:00:00,Bus + Metro ,120,Walk ,5,< 0.5 km ,15,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,10,2,No ,141,No crowding  - 50-75% of seats occupied ,Male,,,Bus ,36-45 yrs ,10th,Business,"<=10,000",0.0,1,0,0,0,10,-1,8,1,2,3,1,1,1,1,1,1
697,Kengeri ,,Kengeri metro station ,Work,Ramohalli Dodda aladamara,Home,05:00:00,Bus ,20,Walk,10,0.5 to 1 km ,10,Walk ,2,< 0.5 km ,,For access trip only ,,,Ordinary Monthly Pass ,0,No crowding  - 50-75% of seats occupied ,Male,,,Bus ,26-35 yrs ,Postgraduate,Employed,"10,001 – 25,000",0.0,0,0,0,0,10,-1,2,1,0,2,3,1,2,1,1,1
698,,NAGASANDRA-SILK INSTITUTE,Jayaprakash nagar,School,Yeshwanthpur ,Home,11:15:00,Metro ,40,Walk ,2,< 0.5 km ,4,Auto Rickshaw ,6,1.5 km to 2 km ,10,For neither access nor egress trips ,,,No ,47,High crowding - All seats AND 50-75% of standing space occupied ,Male,,,Bus ,18-25 yrs ,Graduate,Student,"10,001 – 25,000",0.0,2,1,0,0,10,-1,3,1,1,1,1,2,1,1,1,5
699,Kengeri ,,"Kengeri ,metro station ",Work,"Pattangere,R.Vcollege",Home,05:00:00,Bus ,10,Walk,5,< 0.5 km ,15,Walk ,5,< 0.5 km ,,For access trip only ,,,Oridinary Day Pass ,0,No crowding  - 25-50% of seats occupied ,Female,Yes ,Bus ,Bus ,36-45yrs ,10th,Employed,"25,001 – 50,000",0.0,0,0,0,0,10,-1,2,1,0,3,1,1,2,0,1,1
700,Jalahalli ,,Vivekananda college ,School,Sapatagiri college,Home,11:00:00,Bus + Metro ,40,Two-Wheeler ,1,< 0.5 km ,5,Walk ,5,< 0.5 km ,,For egress trip only ,1,5,Ordinary Day Pass ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Male,,,Bus ,18-25 yrs ,Graduate,Student,,2.0,4,1,0,0,10,-1,3,1,2,1,1,1,4,1,3,1
701,Jallahlli,,Yeshwanthpur railwaystation,Home,"Ion digital tech, jallalli",School,10:45:00,Metro ,45,Rapido/Uber moto/Ola App two-wheeler ,30,> 5 km ,5,Walk ,15,0.5 to 1 km ,,For both access and egress trips ,,,Mobility card ,65,Medium crowding - All seats AND 25-50% of standing space occupied ,Male,,,Metro ,18-25 yrs ,12th,Student,,0.0,1,0,0,0,10,-1,1,3,1,1,8,3,3,1,7,1
702,Jalahalli ,,"Chikkpette,market",Social,"Jalahalli, pipeline road",Home,11:15:00,Metro ,45,Two-Wheeler ,15,1.5 km to 2 km ,5,Walk ,30,0.5 to 1 km ,,For both access and egress trips ,,,No ,35,Medium crowding - All seats AND 25-50% of standing space occupied ,Male,,,Bus ,18-25 yrs ,12th,Business,"10,001 – 25,000",0.0,1,0,0,0,10,-1,6,1,1,1,2,3,3,1,3,1
703,,Silk institute-Nagasandra ,Dssarahalli metro station,Friend,"Rajarajeshwari Nagar, RR temple",Home,10:30:00,Bus + Metro ,135,Walk ,5,0.5 to 1 km ,10,Walk ,2,< 0.5 km ,,For neither access nor egress trips ,1,7,No ,65,No crowding  - 50-75% of seats occupied ,Male,,,Bus and Metro ,18-25 yrs ,Graduate,Student,"25,001 – 50,000",0.0,0,1,0,0,10,-1,7,1,2,1,3,1,1,1,1,1
704,Jalahalli ,,K R market,Shopping,"Peenya, gowri PG",Home,11:25:00,Metro ,30,Walk ,10,1 km to 1.5 km ,8,Walk ,5,0.5 to 1 km ,,For both access and egress trips ,,,No ,35,Low crowding - All seats AND up to 25% of standing space occupied ,Male,,,Bus ,18-25 yrs ,Graduate,Student,,0.0,0,0,0,0,10,-1,4,1,1,1,4,3,3,1,1,1
705,Jalahalli,,"Sitaram Paula metro station,",Work,Peenya,Work,11:00:00,Bus1 metro bus2 metro2 bus3,120,Walk ,10,0.5 to 1 km ,5,Walk ,10,0.5 to 1 km ,,For neither access nor egress trips ,5,5,No ,90,Medium crowding - All seats AND 25-50% of standing space occupied ,Male,,,Bus ,26-35 yrs ,Graduate,Employed,,0.0,0,0,0,0,10,-1,2,2,0,2,3,3,1,1,1,1
706,Jalahalli ,,National college ,Work,Gangama circle,Home,11:15:00,Bus + Metro ,60,Two-Wheeler ,5,1 km to 1.5 km ,2,Walk ,10,1 km to 1.5 km ,,For neither access nor egress trips ,5,7,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Male,,,Metro ,36-45 yrs ,10th,Business,"25,001 – 50,000",0.0,1,1,0,0,10,-1,2,1,2,3,4,4,1,1,3,1
707,Jalahalli ,,Kanakpur near bus stop,Other,"Sanjeevni hospital, jalahalli cross",Other,11:22:00,Metro + Bus ,70,Walk ,15,0.5 to 1 km ,8,Walk ,19,0.5 to 1 km ,,For neither access nor egress trips ,0,5,No ,110,High crowding - All seats AND 50-75% of standing space occupied ,Male,,,Bus ,18-25 yrs ,12th,Employed,,1.0,1,0,0,0,10,-1,8,8,3,1,3,3,1,1,1,1
708,MAJESTIC,,"Chickpet, market",Shopping,"Vijaynagar, maruthi mandir",Home,11:15:00,Metro ,15,Two-Wheeler ,5,1 km to 1.5 km ,5,Walk ,15,0.5 to 1 km ,,For neither access nor egress trips ,,,Metro card ,40,Medium crowding - All seats AND 25-50% of standing space occupied ,Male,,,I was not making this trip ,46-60 yrs ,Graduate,Unemployed,"50,001 – 1,00,000",1.0,1,0,0,0,10,-1,4,1,1,4,4,3,1,1,3,1
709,Jalahalli ,,Majestic ,Work,Chitradurga,Home,07:00:00,Bus + Metro ,315,Walk ,15,< 0.5 km ,15,Ola/Uber car ,20,> 5 km ,7,For egress trip only ,5,10,Metro card ,200,Medium crowding - All seats AND 25-50% of standing space occupied ,Male,,,Metro ,26-35 yrs ,Postgraduate,Business,,0.0,1,0,0,0,10,-1,2,1,2,2,1,8,4,1,1,6
710,Jalahalli,,Central college metro station ,Work,"Chikbidrakal, kammak layout",Home,11:15:00,Bus + Metro ,30,Two-Wheeler ,5,0.5 to 1 km ,5,Nil,0,< 0.5 km ,0,For access trip only ,5,5,No ,0,High crowding - All seats AND 50-75% of standing space occupied ,Female,Yes ,Bus ,Bus ,18-25yrs ,Postgraduate,Employed,,0.0,1,0,0,0,10,-1,2,1,2,1,3,1,2,0,3,0
711,,Nagasandra - silk institute ,Mantri mall ,Work,"Nagasandra, 8th mile",Home,11:45:00,Metro ,30,Walk ,10,0.5 to 1 km ,5,Walk ,2,< 0.5 km ,,For neither access nor egress trips ,,,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Male,,,Bus ,18-25 yrs ,Graduate,Employed,,0.0,2,0,0,0,10,-1,2,1,1,1,3,1,1,1,1,1
712,,Peenya industry ,"Srirampura, satire road",Friend,"Davaspeta, ",Home,11:30:00,Metro ,90,Car ,30,> 5 km ,5,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,,,Mobility card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Male,,,Metro ,36-45 yrs ,10th,Daily,,0.0,1,0,0,0,10,-1,7,1,1,3,8,1,1,1,4,1
713,,Nagasandra to Silk institute ,"Jayanagar,kapila bhavana",Work,Mudigiri,Home,10:00:00,Bus + Metro ,150,Two-Wheeler ,15,> 5 km ,5,Ola/Uber car ,60,> 5 km ,5,For neither access nor egress trips ,2,3,Metro card ,900,Medium crowding - All seats AND 25-50% of standing space occupied ,Male,,,Bus and Metro ,36-45 yrs ,Graduate,Employed,"25,001 – 50,000",1.0,2,1,0,0,10,-1,2,1,2,3,8,8,1,1,3,6
714,,Nagasandra - silk institute ,"Rajajinagar, ",Other,Sapatagiri college ,Home,11:30:00,Bus + Metro ,69,Walk ,5,< 0.5 km ,2,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,5,5,Ordinary Weekly Pass ,0,Low crowding - All seats AND up to 25% of standing space occupied ,Male,,,Bus ,18-25 yrs ,Graduate,Employed,"25,001 – 50,000",0.0,0,0,0,0,10,-1,8,1,2,1,1,1,1,1,1,1
715,,Nagasandra - silk institute ,"Jaynagar,plan B restaurant ",Restaurant,"Rajajinagar, navrang bridge, near Swathi restaurant ",Home,12:00:00,Metro ,40,Car ,2,< 0.5 km ,2,Dropped-off by friends/others ,20,3 km to 3.5 km ,0,For neither access nor egress trips ,,,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Male,,,Bus ,18-25 yrs ,Graduate,Student,,,2,0,0,0,10,-1,5,1,1,1,1,5,1,1,4,8
