,Unnamed: 0,M_ORIGIN,M_DESTINATION,D_LANDMARK,D_TYPE,O_LANDMARK,O_TYPE,START_TIME,TRIP_SEQUENCE,TOTAL_TIME,ACCESS_MODE,ACCESS_TIME,ACCESS_DISTANCE,WT_FS,EGRESS_MODE,EGRESS_TIME,EGRESS_DISTANCE,WT_FIS,BICYCLE_USE,TRANSFER_TIME,WAITING_TIME_SECOND_STOP,PASS,TOTAL_COST,CROWDING,GENDER,S_1,S_2,S_3,AGE,EDUCATION,OCCUPATION,INCOME,CARS,TWO_WHEELER,N_BICYCLES,OTHERS,PARKING,RENT,PARK,DESTINATION,ORIGIN,TRIP,AGE_C,ACCESS_DIS,EGRESS_DIS,RENT_BICYCLE,MALE,ACCESS_M,EGRESS_M
107,107,Yeshwanthpur (green line),Cubbon Park (purple line),"Cubbon park,idc",Friend,"Yeshwantpur,govardhan theatre ",Home,17:00:00,Metro ,60,Walk ,10,0.5 to 1 km ,5,Auto Rickshaw ,20,1.5 km to 2 km ,4.0,For both access and egress trips ,,,Metro card ,80,No crowding - Less than 25% of seats occupied ,Female,,,Metro ,26-35 yrs ,Postgraduate,Employed,,0.0,1,0,0,0,10,-1,7,1,1,2,3,2,3,0,1,5
109,109,"Nadaprabhu Kempegowda Station, Majestic (green/purple line)",Baiyappanahalli (purple line),Byappanahalli tin factory ,Home,Majestic ,Other,17:50:00,Metro ,25,Walk ,5,0.5 to 1 km ,4,Ola/Uber car ,10,2.5 km to 3 km ,5.0,For neither access nor egress trips ,,,Metro card ,200,High crowding - All seats AND 50-75% of standing space occupied ,Female,,,Metro ,18-25 yrs ,Graduate,Employed,>2 Lakhs,0.0,0,0,0,0,10,-1,1,8,1,1,3,7,1,0,1,6
113,113,Jalahalli (green line),Nagasandra (green line),"DEBANJANA College,  nagasandra ",School,Jalahalli near smart point store,Home,08:00:00,Metro ,40,Walk ,15,0.5 to 1 km ,2,Walk ,20,0.5 to 1 km ,,For neither access nor egress trips ,,,Metro card ,0,No crowding  - 50-75% of seats occupied ,Female,,,Metro ,18-25 yrs ,12th,Student,,0.0,0,0,0,0,10,-1,3,1,1,1,3,3,1,0,1,1
114,114,Nagasandra (green line),Rajajinagar (green line),"Akash coaching centre, rajajinagar",School,Prestige appartment in nagasandra ,Home,08:35:00,Metro ,60,Two-Wheeler ,6,4.5 km to 5 km ,3,Walk ,3,< 0.5 km ,,For access trip only ,,,Metro card ,0,High crowding - All seats AND 50-75% of standing space occupied ,Female,,,Metro ,18-25 yrs ,10th,Student,"1,00,001 – 2,00,000",1.0,2,1,0,0,10,-1,3,1,1,1,6,1,2,0,3,1
118,118,Vijayanagar (purple line),Vajarahalli (green line),"560062, raguvanahalli",Work,"Vijaynagar,  560040",Home,08:30:00,Metro ,90,Auto Rickshaw ,30,4.5 km to 5 km ,2,Walk ,15,0.5 to 1 km ,,For neither access nor egress trips ,,,Metro card ,30,Very high crowding - All seats AND most standing space occupied ,Female,,,Metro ,26-35 yrs ,Graduate,Employed,"1,00,001 – 2,00,000",0.0,1,0,0,0,10,-1,2,1,1,2,6,3,1,0,5,1
123,123,Silk Institute (green line),Jalahalli (green line),"Near Carry foods, Jalahalli ",Friend,"Kagalupura, near ganapati temple ",Home,09:30:00,Metro ,60,Two-Wheeler ,15,4.5 km to 5 km ,0,Auto Rickshaw ,15,4.5 km to 5 km ,5.0,For neither access nor egress trips ,,,Mobility card ,100,No crowding  - 50-75% of seats occupied ,Female,,,Metro ,26-35 yrs ,10th,Daily,"25,001 – 50,000",0.0,2,0,0,0,10,-1,7,1,1,2,6,6,1,0,3,5
125,125,Baiyappanahalli (purple line),"Sir.M.Visvesvaraya Stn., Central College (purple line)",Commissioner office ,Work,Bayappanahalli kalkere,Home,09:15:00,Metro ,60,Auto Rickshaw ,25,> 5 km ,3,Walk ,10,0.5 to 1 km ,,For both access and egress trips ,,,Mobility card ,220,No crowding  - 50-75% of seats occupied ,Female,,,Metro ,36-45 yrs ,Postgraduate,Employed,"50,001 – 1,00,000",1.0,2,1,0,0,10,-1,2,1,1,3,8,3,3,0,5,1
126,126,Baiyappanahalli (purple line),Cubbon Park (purple line),"Ashok nagar,mc Donald's ",Work,"Mahadevpura,near shanimahatma temple ",Home,09:40:00,Bus + Metro ,70,Walk ,5,< 0.5 km ,1,Walk ,10,0.5 to 1 km ,,For neither access nor egress trips ,5.0,3.0,Metro card ,0,No crowding  - 25-50% of seats occupied ,Female,Yes ,Bus + Metro ,Bus and Metro ,18-25yrs ,Graduate,Employed,,1.0,0,0,0,0,10,-1,2,1,2,1,1,3,1,0,1,1
127,127,Swami Vivekananda Road (purple line),"Dr. B. R. Ambedkar Station, Vidhana Soudha (purple line)",Vidhanasudha ,Other,CV raman hospital ,Work,10:00:00,Metro ,23,Walk ,5,< 0.5 km ,3,Walk ,7,0.5 to 1 km ,,For neither access nor egress trips ,,,Metro card ,0,High crowding - All seats AND 50-75% of standing space occupied ,Female,,,Metro ,26-35 yrs ,Graduate,Employed,,3.0,0,0,0,0,10,-1,8,2,1,2,1,3,1,0,1,1
129,129,Indiranagar (purple line),Jayanagar (green line),Jayanagar 4th block,Work,Indiranagar cmh road,Home,10:00:00,Metro ,60,Walk ,5,< 0.5 km ,5,Walk ,13,0.5 to 1 km ,,For neither access nor egress trips ,,,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,,Metro ,26-35 yrs ,Postgraduate,Employed,,1.0,1,0,0,0,10,-1,2,1,1,2,1,3,1,0,1,1
132,132,Cubbon Park (purple line),Magadi Road (purple line),Magadi road gt world mall,Work,Nagavara manyata tech park,Home,09:00:00,Bus + Metro ,90,Walk ,10,0.5 to 1 km ,10,Walk ,15,1 km to 1.5 km ,,For neither access nor egress trips ,5.0,4.0,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,Yes ,Bus + Metro ,Bus and Metro ,36-45yrs ,Graduate,Employed,,1.0,1,0,0,0,10,-1,2,1,2,3,3,4,1,0,1,1
134,134,Konanakunte Cross (green line),Kengeri (purple line),"Kombalgude, rajaeshwari ",Work,Forum mall,Home,09:15:00,Metro + Bus ,90,Two-Wheeler ,5,1.5 km to 2 km ,10,Walk ,5,< 0.5 km ,,For both access and egress trips ,2.0,2.0,No ,100,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,Eligible but do not use ,Bus + Metro ,Bus and Metro ,18-25yrs ,Graduate,Employed,,2.0,0,0,0,0,10,-1,2,1,3,1,2,1,3,0,3,1
135,135,"Sir.M.Visvesvaraya Stn., Central College (purple line)",Pantharapalya - Nayandahalli (purple line),"Nayandahalli,Anjani pharma ",Work,"Central college ,Chickpete",Work,10:15:00,Metro ,20,Walk ,10,0.5 to 1 km ,5,Walk ,15,0.5 to 1 km ,,For neither access nor egress trips ,,,Metro card ,0,No crowding - Less than 25% of seats occupied ,Female,,,Metro ,26-35 yrs ,Graduate,Employed,,0.0,1,0,0,0,10,-1,2,2,1,2,3,3,1,0,1,1
136,136,"Sri Balagangadharanatha Swamiji Station, Hosahalli (purple line)",Pattanagere (purple line),Global village rv college ,Work,Rajajinagar sugar fast food,Home,10:00:00,Bus + Metro ,50,Walk ,10,0.5 to 1 km ,5,Company cab,20,2 km to 2.5 km ,7.0,For both access and egress trips ,10.0,4.0,Metro card ,0,No crowding  - Most ,Female,Yes ,Bus + Metro ,Bus and Metro ,18-25yrs ,Graduate,Employed,,1.0,1,0,0,0,10,-1,2,1,2,1,3,11,3,0,1,10
140,140,Kengeri (purple line),Mahatma Gandhi Road (purple line),Mg road church street ,Other,Kengeri near metro station ,Home,10:30:00,Metro ,40,Walk ,10,0.5 to 1 km ,10,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,,,Metro card ,0,No crowding  - Most ,Female,,,Metro ,18-25 yrs ,Graduate,Student,,1.0,1,0,0,0,10,-1,8,1,1,1,3,1,1,0,1,1
141,141,Kengeri (purple line),Indiranagar (purple line),"Taco street,hal 3rd stage ",Home,Rajarajeswari hospital,Work,10:30:00,Metro ,75,Auto Rickshaw ,10,2 km to 2.5 km ,6,Auto Rickshaw ,5,1 km to 1.5 km ,4.0,For both access and egress trips ,,,No ,150,No crowding - Less than 25% of seats occupied ,Female,,,Metro ,26-35 yrs ,Graduate,Student,"1,00,001 – 2,00,000",0.0,0,0,0,0,10,-1,1,2,1,2,11,4,3,0,5,5
142,142,Rajarajeshwari Nagar (purple line),Mahatma Gandhi Road (purple line),Mg road brigade road,School,Rr nagar gopal  all,Home,10:20:00,Bus + Metro ,60,Two-Wheeler ,15,1.5 km to 2 km ,15,Walk ,10,0.5 to 1 km ,,For neither access nor egress trips ,15.0,7.0,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,Yes ,Bus + Metro ,Bus and Metro ,18-25yrs ,Graduate,Student,,1.0,2,0,0,0,10,-1,3,1,2,1,2,3,1,0,3,1
143,143,Mantri Square Sampige Road (green line),Indiranagar (purple line),Texas review,Work,8th cross malleshwaram ,Home,11:00:00,Metro ,30,Dropped-off by friends/others ,5,0.5 to 1 km ,10,Walk ,15,1.5 km to 2 km ,,For neither access nor egress trips ,,,No ,30,No crowding  - 50-75% of seats occupied ,Female,,,Metro ,18-25 yrs ,Graduate,Student,,1.0,1,1,0,0,10,-1,2,1,1,1,3,2,1,0,8,1
144,144,Nagasandra (green line),Mahatma Gandhi Road (purple line),Mg road church street,School,Nagsandra ikea ,Home,10:30:00,Metro ,60,Walk ,5,< 0.5 km ,5,Walk ,7,0.5 to 1 km ,,For neither access nor egress trips ,,,Metro card ,0,High crowding - All seats AND 50-75% of standing space occupied ,Female,,,Metro ,18-25 yrs ,12th,Student,,2.0,1,0,0,0,10,-1,3,1,1,1,1,3,1,0,1,1
145,145,Jalahalli (green line),Cubbon Park (purple line),"Shivajinagara, coughs hospital ",Other,"Yelahanka, kG halli",Home,10:15:00,Bus + Metro ,120,Walk ,5,< 0.5 km ,30,Auto Rickshaw ,15,2.5 km to 3 km ,6.0,For neither access nor egress trips ,5.0,6.0,Mobility card ,0,No crowding  - 50-75% of seats occupied ,Female,Yes ,Metro ,Metro ,26-35yrs ,Graduate,Unemployed,,0.0,0,0,0,0,10,-1,8,1,2,2,1,7,1,0,1,5
146,146,National College (green line),Trinity (purple line),Tinge cosmetics trinity,Other,Jain college vasvi road,School,11:05:00,Metro ,30,Walk ,15,0.5 to 1 km ,1,Walk ,15,0.5 to 1 km ,,For both access and egress trips ,,,Metro card ,0,High crowding - All seats AND 50-75% of standing space occupied ,Female,,,Metro ,18-25 yrs ,Graduate,Student,,1.0,2,0,0,0,10,-1,8,3,1,1,3,3,3,0,1,1
147,147,Peenya (green line),Trinity (purple line),Trinity metro station ,Work,Peeny platinum city,Home,11:00:00,Metro ,60,Walk ,7,< 0.5 km ,5,Walk ,7,< 0.5 km ,,For neither access nor egress trips ,,,Metro card ,0,High crowding - All seats AND 50-75% of standing space occupied ,Female,,,Metro ,18-25 yrs ,Graduate,Employed,,0.0,0,0,0,0,10,-1,2,1,1,1,1,1,1,0,1,1
152,152,Jalahalli (green line),Krishna Rajendra Market (green line),"Victoria hospital,  KR Market ",Other,Jalahalli cross bus stop (chalkere),Home,11:35:00,Metro ,30,Walk ,5,< 0.5 km ,6,Walk ,3,< 0.5 km ,,For neither access nor egress trips ,,,No ,38,No crowding  - 50-75% of seats occupied ,Female,,,Metro ,18-25 yrs ,Graduate,Employed,,0.0,0,0,0,0,10,-1,8,1,1,1,1,1,1,0,1,1
158,158,Indiranagar (purple line),Magadi Road (purple line),"Rajajinagar,5th block ",Home,"Indiranagar,8th cross",Work,11:30:00,Metro ,30,Walk ,17,1 km to 1.5 km ,6,Two-Wheeler ,10,2 km to 2.5 km ,,For both access and egress trips ,,,Metro card ,0,No crowding  - 25-50% of seats occupied ,Female,,,Metro ,26-35 yrs ,Postgraduate,Student,,1.0,2,0,0,0,10,-1,1,2,1,2,4,11,3,0,1,3
159,159,Indiranagar (purple line),Mahatma Gandhi Road (purple line),Mg road brigade road,Other,Indiranagar motherhood hospital ,Home,11:45:00,Metro ,45,Walk ,7,0.5 to 1 km ,5,Walk ,13,0.5 to 1 km ,,For neither access nor egress trips ,,,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,,Metro ,46-60 yrs ,Graduate,Unemployed,,1.0,1,0,0,0,10,-1,8,1,1,4,3,3,1,0,1,1
163,163,Rajajinagar (green line),Jayanagar (green line),Jayanagar 9th block ,Home,"Rajajinagar,  Karnataka gastero centre hospital ",Other,11:30:00,Metro ,60,Walk ,5,< 0.5 km ,8,Auto Rickshaw ,20,4.5 km to 5 km ,5.0,For neither access nor egress trips ,,,No ,29,High crowding - All seats AND 50-75% of standing space occupied ,Female,,,Metro ,26-35 yrs ,Postgraduate,Employed,"50,001 – 1,00,000",1.0,0,0,0,0,10,-1,1,8,1,2,1,6,1,0,1,5
167,167,Indiranagar (purple line),National College (green line),Gandhi bazar,Shopping,"Indiranagar,KFC signal",Work,12:20:00,Metro ,30,Walk ,2,< 0.5 km ,6,Auto Rickshaw ,10,1 km to 1.5 km ,0.0,For neither access nor egress trips ,,,Metro card ,30,Low crowding - All seats AND up to 25% of standing space occupied ,Female,,,Metro ,36-45 yrs ,12th,Employed,"25,001 – 50,000",1.0,0,0,0,0,10,-1,4,2,1,3,1,4,1,0,1,5
168,168,Indiranagar (purple line),Halasuru (purple line),Halasuru ramkrishna ashrama,Shopping,Indiranagr chai point,Friend,00:00:00,Metro ,45,Dropped-off by friends/others ,15,4 km to 4.5 km ,7,Walk ,5,< 0.5 km ,,For both access and egress trips ,,,No ,100,No crowding  - Most ,Female,,,Metro ,18-25 yrs ,Graduate,Student,,1.0,1,0,0,0,10,-1,4,7,1,1,10,1,3,0,8,1
172,172,Indiranagar (purple line),Attiguppe (purple line),"Attigupe metro ,near petrol pump",Other,"Indranagar,Arya samaj",Friend,12:10:00,Metro ,35,Dropped-off by friends/others ,10,2 km to 2.5 km ,5,Auto Rickshaw ,3,< 0.5 km ,0.0,For both access and egress trips ,,,Metro card ,40,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,,Metro ,18-25 yrs ,Graduate,Student,,2.0,1,0,0,0,10,-1,8,7,1,1,11,1,3,0,8,5
174,174,Halasuru (purple line),Mahatma Gandhi Road (purple line),Mg road sykdeck Sherlock ,Work,Joga palya,Home,00:00:00,Metro ,15,Walk ,20,1 km to 1.5 km ,4,Walk ,7,0.5 to 1 km ,,For both access and egress trips ,,,Metro card ,0,No crowding  - Most ,Female,,,Metro ,26-35 yrs ,Graduate,Employed,,0.0,1,0,0,0,10,-1,2,1,1,2,4,3,3,0,1,1
184,184,Jayaprakash Nagar (green line),"Nadaprabhu Kempegowda Station, Majestic (green/purple line)",SJM towers,Work,"JP nagar, near Saraki Market ",Home,13:00:00,Metro ,50,Walk ,10,0.5 to 1 km ,5,Walk ,15,0.5 to 1 km ,,For both access and egress trips ,,,Metro card ,0,No crowding  - Most ,Female,,,Metro ,26-35 yrs ,Graduate,Employed,"25,001 – 50,000",1.0,0,0,0,0,10,-1,2,1,1,2,3,3,3,0,1,1
187,187,Kengeri (purple line),Vijayanagar (purple line),Vijaynagar Canara bank,Other,Kengeri bus terminal ,School,00:30:00,Bus + Metro ,60,Walk ,5,< 0.5 km ,5,Walk ,10,0.5 to 1 km ,,For both access and egress trips ,5.0,5.0,No ,86,No crowding  - Most ,Female,Not eligible ,Bus + Metro ,Bus and Metro ,18-25yrs ,Graduate,Student,,0.0,0,0,0,0,10,-1,8,3,2,1,1,3,3,0,1,1
188,188,Kengeri (purple line),National College (green line),"GC Rao academy ,National college ",Other,Kenchanpura cross ,Home,12:30:00,Bus + Metro ,90,Walk ,10,1 km to 1.5 km ,5,Walk ,15,1.5 km to 2 km ,,For both access and egress trips ,3.0,10.0,Metro card ,0,No crowding  - 25-50% of seats occupied ,Female,Yes ,Bus + Metro ,Bus and Metro ,18-25yrs ,Graduate,Student,,1.0,2,1,0,0,10,-1,8,1,2,1,4,2,3,0,1,1
190,190,Jnanabharathi (purple line),Mahakavi Kuvempu Road (green line),Gayatri nagar,Home,Ullala,School,01:00:00,Bus + Metro ,50,Walk ,5,< 0.5 km ,10,Walk ,10,0.5 to 1 km ,,For both access and egress trips ,2.0,5.0,Metro card ,0,Low crowding - All seats AND up to 25% of standing space occupied ,Female,Yes ,Bus + Metro ,Bus and Metro ,18-25yrs ,12th,Student,,1.0,1,0,0,0,10,-1,1,3,2,1,1,3,3,0,1,1
191,191,"Nadaprabhu Kempegowda Station, Majestic (green/purple line)",Jalahalli (green line),"Malsandhra, ayyapa school near",Home,Family court near majestic ,Other,12:45:00,Metro ,45,Auto Rickshaw ,10,2.5 km to 3 km ,4,Auto Rickshaw ,10,2 km to 2.5 km ,0.0,For neither access nor egress trips ,,,No ,200,Low crowding - All seats AND up to 25% of standing space occupied ,Female,,,Metro ,36-45 yrs ,Graduate,Unemployed,"50,001 – 1,00,000",0.0,1,1,0,0,10,-1,1,8,1,3,7,11,1,0,5,5
192,192,"Sir.M.Visvesvaraya Stn., Central College (purple line)",Yeshwanthpur (green line),"Hebbal,atria institute of technology ",Home,Sk institute ,School,13:00:00,Metro ,75,Walk ,15,1 km to 1.5 km ,5,Dropped-off by friends/others ,30,> 5 km ,2.0,For neither access nor egress trips ,,,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,,Metro ,18-25 yrs ,12th,Student,"25,001 – 50,000",0.0,2,0,0,0,10,-1,1,3,1,1,4,8,1,0,1,8
193,193,Rajarajeshwari Nagar (purple line),Nagasandra (green line),"Nelmangala,pai international ",School,Global academy,School,13:00:00,Metro + Bus ,120,Auto Rickshaw ,10,1 km to 1.5 km ,6,Walk ,5,< 0.5 km ,,For both access and egress trips ,20.0,20.0,Student pass ,0,No crowding  - 25-50% of seats occupied ,Female,Eligible but do not use ,Bus + Metro ,Bus and Metro ,18-25yrs ,Graduate,Student,"10,001 – 25,000",1.0,0,0,0,0,10,-1,3,3,3,1,4,1,3,0,5,1
194,194,Pattanagere (purple line),Baiyappanahalli (purple line),Phoenix market city,Work,Harsha layout,Home,13:15:00,Metro ,45,Walk ,7,< 0.5 km ,9,Walk ,10,0.5 to 1 km ,,For neither access nor egress trips ,,,Metro card ,0,No crowding  - Most ,Female,,,Metro ,26-35 yrs ,Graduate,Employed,,0.0,1,0,0,0,10,-1,2,1,1,2,1,3,1,0,1,1
202,202,Jalahalli (green line),Indiranagar (purple line),Indra nagar near metro station ,Home,MSRUAS,School,15:10:00,Bus + Metro ,45,Walk ,3,< 0.5 km ,5,Auto Rickshaw ,10,2 km to 2.5 km ,0.0,For neither access nor egress trips ,5.0,8.0,Metro card ,60,No crowding  - 25-50% of seats occupied ,Female,Not eligible ,Metro ,Metro ,18-25yrs ,Graduate,Student,,0.0,0,0,0,0,10,-1,1,3,2,1,1,11,1,0,1,5
203,203,Trinity (purple line),"Sri Balagangadharanatha Swamiji Station, Hosahalli (purple line)",Veeresh theater ,Home,Mital tower,Work,03:00:00,Metro ,25,Walk ,5,< 0.5 km ,5,Walk ,5,< 0.5 km ,,For both access and egress trips ,,,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,,Metro ,18-25 yrs ,12th,Employed,,0.0,1,0,0,0,10,-1,1,2,1,1,1,1,3,0,1,1
204,204,Trinity (purple line),"Nadaprabhu Kempegowda Station, Majestic (green/purple line)","Nelmangala,kunigal road",Home,"Trinity, central mall",Work,15:00:00,Metro + Bus ,90,Walk ,10,0.5 to 1 km ,6,Walk ,5,0.5 to 1 km ,,For neither access nor egress trips ,5.0,2.0,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,Yes ,Bus + Metro ,Bus and Metro ,26-35yrs ,Postgraduate,Employed,,1.0,2,0,0,0,10,-1,1,2,3,2,3,3,1,0,1,1
207,207,Trinity (purple line),Nagasandra (green line),Nagasandra ikea,Shopping,1mg mall,Work,15:20:00,Metro ,45,Walk ,6,1.5 km to 2 km ,6,Walk ,4,< 0.5 km ,,For access trip only ,,,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,,Metro ,18-25 yrs ,Graduate,Student,,1.0,1,0,0,0,10,-1,4,2,1,1,2,1,2,0,1,1
208,208,Trinity (purple line),Banashankari (green line),Bannerghatta main road jayadeva hospital ,Other,Trinity ,Work,15:30:00,Metro + Bus ,60,Walk ,10,0.5 to 1 km ,4,Walk ,15,0.5 to 1 km ,,For both access and egress trips ,2.0,5.0,No ,72,Low crowding - All seats AND up to 25% of standing space occupied ,Female,Yes ,Bus + Metro ,Bus and Metro ,18-25yrs ,Graduate,Employed,,0.0,0,0,0,0,10,-1,8,2,3,1,3,3,3,0,1,1
216,216,Trinity (purple line),Vijayanagar (purple line),"Magadi road,achraya Bangalore b school ",Home,"St Joseph's , trinity ",School,15:30:00,Metro ,60,Walk ,5,0.5 to 1 km ,6,Car ,40,> 5 km ,,For neither access nor egress trips ,,,Metro card ,0,High crowding - All seats AND 50-75% of standing space occupied ,Female,,,Metro ,18-25 yrs ,Postgraduate,Student,,1.0,1,0,0,0,10,-1,1,3,1,1,3,8,1,0,1,4
217,217,Jalahalli (green line),"Nadaprabhu Kempegowda Station, Majestic (green/purple line)",Majestic ,Other,"Jnana bharathi girls hostel, ",Home,13:30:00,Bus + Metro ,180,Walk ,5,< 0.5 km ,5,Walk ,2,< 0.5 km ,,For neither access nor egress trips ,5.0,8.0,No ,35,No crowding  - 25-50% of seats occupied ,Female,Yes ,Metro ,Metro ,18-25yrs ,12th,Student,,0.0,0,0,0,0,10,-1,8,1,2,1,1,1,1,0,1,1
219,219,Trinity (purple line),Kengeri (purple line),Kengeri bus stop,Friend,Trinity concorde,Work,15:30:00,Metro ,60,Walk ,8,0.5 to 1 km ,6,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,,,Metro card ,0,High crowding - All seats AND 50-75% of standing space occupied ,Female,,,Metro ,18-25 yrs ,Graduate,Employed,,0.0,2,0,0,0,10,-1,7,2,1,1,3,1,1,0,1,1
220,220,Jalahalli (green line),Srirampura (green line),"Malleswaram, 6th main",Home,Peenya 4th main road,Work,15:40:00,Bus + Metro ,40,Walk ,5,< 0.5 km ,1,Two-Wheeler ,5,1 km to 1.5 km ,,For neither access nor egress trips ,2.0,7.0,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,Yes ,Bus ,Bus ,18-25yrs ,Graduate,Student,>2 Lakhs,2.0,3,2,0,0,10,-1,1,2,2,1,1,4,1,0,1,3
225,225,Banashankari (green line),Silk Institute (green line),Disha college,Home,Brigade meadows,Friend,16:15:00,Bus + Metro ,15,Walk ,10,0.5 to 1 km ,8,Bus,20,4.5 km to 5 km ,5.0,For neither access nor egress trips ,5.0,0.0,Metro card ,0,No crowding - Less than 25% of seats occupied ,Female,Yes ,Bus + Metro ,Bus ,46-60yrs ,Graduate,Employed,"10,001 – 25,000",1.0,1,0,0,0,10,-1,1,7,2,4,3,6,1,0,1,12
228,228,"Nadaprabhu Kempegowda Station, Majestic (green/purple line)",Baiyappanahalli (purple line),"Kasturi nagar, byapanahalli ",Home,"Jayanagar,vancourd business school ",School,15:30:00,Bus + Metro ,120,Walk ,10,0.5 to 1 km ,6,Auto Rickshaw ,6,0.5 to 1 km ,0.0,For egress trip only ,4.0,5.0,Metro card ,40,High crowding - All seats AND 50-75% of standing space occupied ,Female,Yes ,Bus + Metro ,Bus and Metro ,18-25yrs ,Graduate,Student,,0.0,2,0,1,0,10,-1,1,3,2,1,3,3,4,0,1,5
230,230,Lalbagh (green line),Cubbon Park (purple line),Cubbon park,Friend,Jain cms college ,School,15:45:00,Bus + Metro ,45,Walk ,3,< 0.5 km ,5,Walk ,5,< 0.5 km ,,For access trip only ,5.0,5.0,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,Yes ,Bus + Metro ,Bus and Metro ,18-25yrs ,Graduate,Student,,1.0,1,0,0,0,10,-1,7,3,2,1,1,1,2,0,1,1
232,232,Silk Institute (green line),Doddakallasandra (green line),Mantri square appartment ,Home,Pride appartment ,School,16:38:00,Metro ,20,Walk ,2,< 0.5 km ,7,Two-Wheeler ,10,1 km to 1.5 km ,,For both access and egress trips ,,,Metro card ,0,Low crowding - All seats AND up to 25% of standing space occupied ,Female,,,Metro ,18-25 yrs ,10th,Student,,0.0,1,0,0,0,10,-1,1,3,1,1,1,4,3,0,1,3
233,233,Krishna Rajendra Market (green line),Indiranagar (purple line),"Kodihalli, indranagar ",Other,"Kr market,minto hospital ",Work,15:40:00,Metro + Bus ,40,Walk ,10,1 km to 1.5 km ,5,Walk ,5,0.5 to 1 km ,,For neither access nor egress trips ,2.0,15.0,Metro card ,0,High crowding - All seats AND 50-75% of standing space occupied ,Female,Not eligible ,Bus + Metro ,Bus and Metro ,18-25yrs ,Graduate,Employed,"10,001 – 25,000",1.0,2,0,0,0,10,-1,8,2,3,1,4,3,1,0,1,1
235,235,Goraguntepalya (green line),Mahatma Gandhi Road (purple line),Mg road prestige delta building ,Work,Gokuldas enterprise ,Home,15:45:00,Metro ,75,Walk ,7,0.5 to 1 km ,5,Walk ,15,0.5 to 1 km ,,For neither access nor egress trips ,,,Mobility card ,0,Low crowding - All seats AND up to 25% of standing space occupied ,Female,,,Metro ,18-25 yrs ,Graduate,Employed,"25,001 – 50,000",0.0,0,0,0,0,10,-1,2,1,1,1,3,3,1,0,1,1
237,237,Konanakunte Cross (green line),Mahalakshmi (green line),Sriniwas temple ,Home,RVITM college ,School,16:15:00,Bus + Metro ,60,Walk ,5,< 0.5 km ,8,Walk ,8,0.5 to 1 km ,,For both access and egress trips ,2.0,2.0,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,Yes ,Bus ,Bus and Metro ,18-25yrs ,12th,Student,"50,001 – 1,00,000",1.0,2,1,0,0,10,-1,1,3,2,1,1,3,3,0,1,1
238,238,Jalahalli (green line),"Nadaprabhu Kempegowda Station, Majestic (green/purple line)",Jalahalli bus stop ( came from davangere),Other,Majestic (going to kolar),Other,16:40:00,Metro ,35,Walk ,5,< 0.5 km ,8,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,,,No ,35,No crowding  - 50-75% of seats occupied ,Female,,,Metro ,18-25 yrs ,Trade,Employed,,0.0,0,0,0,0,10,-1,8,8,1,1,1,1,1,0,1,1
