,Unnamed: 0,M_ORIGIN,M_DESTINATION,D_LANDMARK,D_TYPE,O_LANDMARK,O_TYPE,START_TIME,TRIP_SEQUENCE,TOTAL_TIME,ACCESS_MODE,ACCESS_TIME,ACCESS_DISTANCE,WT_FS,EGRESS_MODE,EGRESS_TIME,EGRESS_DISTANCE,WT_FIS,BICYCLE_USE,TRANSFER_TIME,WAITING_TIME_SECOND_STOP,PASS,TOTAL_COST,CROWDING,GENDER,S_1,S_2,S_3,AGE,EDUCATION,OCCUPATION,INCOME,CARS,TWO_WHEELER,N_BICYCLES,OTHERS,PARKING,PARK,DESTINATION,ORIGIN,TRIP,ACCESS_DIS,EGRESS_DIS,RENT_BICYCLE,AGE_NEW,MALE,ACCESS,EGRESS
241,241,Jayanagar (green line),Sandal Soap Factory (green line),Orion mall ,Shopping,Wilson garden ,Home,16:30:00,Metro ,40,Auto Rickshaw ,10,2 km to 2.5 km ,1,Walk ,5,0.5 to 1 km ,,For neither access nor egress trips ,,,No ,200,High crowding - All seats AND 50-75% of standing space occupied ,Female,,,I was not making this trip ,46-60 yrs ,Graduate,Unemployed,,1.0,1,1,0,1,1,4,1,1,11,3,1,4,0,4,1
257,257,Jalahalli (green line),Konanakunte Cross (green line),"Jigani, APC circle ",Work,"Yelahanka old town, blue bell school near",Home,19:50:00,Bus1+metro+Bus2+Bus3+Bus4,210,Walk ,5,< 0.5 km ,5,Walk ,10,< 0.5 km ,,For neither access nor egress trips ,5.0,15.0,Metro card ,0,No crowding  - Most ,Female,Yes ,Metro ,Metro ,36-45yrs ,Postgraduate,Employed,"1,00,001 – 2,00,000",0.0,1,0,0,1,1,2,1,0,1,1,1,0,0,1,1
265,265,Mantri Square Sampige Road (green line),Banashankari (green line),BTM layout ,Other,"Sheshadripuram, nehru nagar",Home,09:00:00,Metro + Bus ,45,Two-Wheeler ,5,1.5 km to 2 km ,4,Walk ,5,< 0.5 km ,,For both access and egress trips ,3.0,10.0,Metro card ,0,No crowding  - Most ,Female,Yes ,Metro ,Metro ,18-25yrs ,Postgraduate,Employed,,1.0,3,0,0,1,1,8,1,3,2,1,3,0,0,0,1
273,273,Silk Institute (green line),Rashtreeya Vidyalaya Road (green line),St Joseph's university ,School,"Kaglipura, kankpura road",Home,08:50:00,Bus1 + Metro + Bus2 ,105,Walk ,5,< 0.5 km ,15,Walk ,7,< 0.5 km ,,For both access and egress trips ,5.0,7.0,Mobility card ,0,No crowding  - 25-50% of seats occupied ,Female,Yes ,Metro ,Metro ,18-25yrs ,12th,Student,,0.0,2,0,0,1,1,3,1,4,1,1,3,0,0,1,1
278,278,Silk Institute (green line),Jayanagar (green line),"Diagonally opposite to Banglore diary circle,  near by kidwi",Work,"SV luxuria, near silk institute metro station ",Home,09:40:00,Metro ,40,Walk ,10,< 0.5 km ,2,Auto Rickshaw ,25,3.5 km to 4 km ,0.0,For neither access nor egress trips ,,,Metro card ,80,No crowding  - 50-75% of seats occupied ,Female,,,Metro ,46-60 yrs ,Graduate,Employed,,0.0,0,0,0,1,1,2,1,1,1,9,1,4,0,1,4
280,280,Konanakunte Cross (green line),Mantri Square Sampige Road (green line),"Malleshwaram 18th cross, PU board",Work,"Sarathi nagara, near Nandini milk booth, ",Home,09:20:00,Bus1 + Metro + Bus2 ,90,Walk ,5,< 0.5 km ,5,Walk ,2,< 0.5 km ,,For neither access nor egress trips ,5.0,9.0,Metro card ,0,Low crowding - All seats AND up to 25% of standing space occupied ,Female,Yes ,Metro ,Metro ,46-60yrs ,12th,Employed,,1.0,1,0,0,1,1,2,1,4,1,1,1,0,0,1,1
282,282,Thalaghattapura (green line),Sandal Soap Factory (green line),Yeshwanthpur 1st stop near,Work,"Judicial layout, thalagattapura",Home,09:30:00,Metro ,60,Walk ,10,0.5 to 1 km ,3,Auto Rickshaw ,5,1.5 km to 2 km ,0.0,For neither access nor egress trips ,,,Metro card ,40,High crowding - All seats AND 50-75% of standing space occupied ,Female,,,Metro ,26-35 yrs ,Graduate,Employed,,2.0,1,0,0,1,1,2,1,1,3,2,1,3,0,1,4
284,284,Banashankari (green line),Dasarahalli (green line),Dasarahalli bus stop (going out of Bangalore),Other,Bommanahalli,Home,09:00:00,Metro ,90,Auto Rickshaw ,25,> 5 km ,1,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,,,No ,180,No crowding  - Most ,Female,,,Metro ,36-45 yrs ,12th,Unemployed,,0.0,1,0,0,1,1,8,1,1,8,1,1,1,0,4,1
286,286,Banashankari (green line),Swami Vivekananda Road (purple line),Bagmane tech park,Work,Banashankari temple,Home,10:20:00,Metro ,60,Two-Wheeler ,15,1.5 km to 2 km ,5,Auto Rickshaw ,13,1.5 km to 2 km ,3.0,For neither access nor egress trips ,,,Metro card ,200,High crowding - All seats AND 50-75% of standing space occupied ,Female,,,Metro ,26-35 yrs ,Graduate,Employed,"25,001 – 50,000",0.0,1,0,0,1,1,2,1,1,2,2,1,3,0,0,4
287,287,Mantri Square Sampige Road (green line),Baiyappanahalli (purple line),Bagmane- tech park ,Work,"Malleshwaram,bjp office",Home,10:00:00,Bus+metro+bus+bus,150,Walk ,15,0.5 to 1 km ,4,Walk ,10,< 0.5 km ,,For neither access nor egress trips ,3.0,4.0,Metro card ,0,Very high crowding - All seats AND most standing space occupied ,Female,Not eligible ,Bus + Metro ,Bus and Metro ,18-25yrs ,Postgraduate,Employed,,0.0,0,0,0,1,1,2,1,0,3,1,1,0,0,1,1
288,288,Jalahalli (green line),Mahatma Gandhi Road (purple line),Emertxe ,Other,Ayappa temple jalahalli ,Home,10:00:00,Bus + Metro ,45,Auto Rickshaw ,5,1.5 km to 2 km ,5,Walk ,2,< 0.5 km ,,For both access and egress trips ,3.0,4.0,Metro card ,40,Low crowding - All seats AND up to 25% of standing space occupied ,Female,Yes ,Bus + Metro ,Bus and Metro ,18-25yrs ,Graduate,Student,,1.0,0,0,0,1,1,8,1,2,2,1,3,0,0,4,1
289,289,Jalahalli (green line),"Sir.M.Visvesvaraya Stn., Central College (purple line)",St Joseph's ,School,Yelahanka 5th phase,Home,08:50:00,Bus1 + Metro + Bus2 ,120,Walk ,3,< 0.5 km ,3,Walk ,5,0.5 to 1 km ,,For neither access nor egress trips ,5.0,3.0,Metro card ,0,High crowding - All seats AND 50-75% of standing space occupied ,Female,Yes ,Bus + Metro ,Bus and Metro ,18-25yrs ,Graduate,Student,"1,00,001 – 2,00,000",2.0,0,2,0,1,1,3,1,4,1,3,1,0,0,1,1
292,292,"Nadaprabhu Kempegowda Station, Majestic (green/purple line)",Cubbon Park (purple line),Mount Carmel College ,School,Akkipet main road,Home,11:00:00,Metro + Bus ,45,Walk ,5,< 0.5 km ,3,Walk ,5,< 0.5 km ,,For both access and egress trips ,2.0,15.0,Metro card ,0,Very high crowding - All seats AND most standing space occupied ,Female,Yes ,Bus + Metro ,Bus and Metro ,18-25yrs ,Graduate,Student,,0.0,2,0,0,1,1,3,1,3,1,1,3,0,0,1,1
295,295,Nagasandra (green line),Indiranagar (purple line),Domlur egl ,Work,"Nagasandra metro station,near ikea",Home,10:30:00,Metro + Bus ,90,Walk ,10,0.5 to 1 km ,9,Walk ,5,< 0.5 km ,,For both access and egress trips ,5.0,3.0,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,Yes ,Bus + Metro ,Bus and Metro ,26-35yrs ,Graduate,Employed,"25,001 – 50,000",1.0,1,0,0,1,1,2,1,3,3,1,3,0,0,1,1
296,296,Sandal Soap Factory (green line),Mahatma Gandhi Road (purple line),St Joseph's college,School,Yeshwantpur triveni road,Home,10:45:00,Bus + Metro ,50,Walk ,7,0.5 to 1 km ,5,Walk ,7,0.5 to 1 km ,,For neither access nor egress trips ,6.0,4.0,Metro card ,0,Very high crowding - All seats AND most standing space occupied ,Female,Yes ,Bus + Metro ,Bus and Metro ,18-25yrs ,Graduate,Student,,0.0,2,0,0,1,1,3,1,2,3,3,1,0,0,1,1
298,298,Jalahalli (green line),"Nadaprabhu Kempegowda Station, Majestic (green/purple line)",Government Science college nrupathunga university ,School,"Peenya , BSR fashion near",Home,10:45:00,Bus + Metro ,90,Two-Wheeler ,10,1 km to 1.5 km ,5,Walk ,10,< 0.5 km ,,For neither access nor egress trips ,5.0,0.0,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,Yes ,Metro ,Metro ,18-25yrs ,12th,Student,,0.0,2,0,0,1,1,3,1,2,4,1,1,0,0,0,1
314,314,Silk Institute (green line),Mantri Square Sampige Road (green line),Mantri square ,Shopping,"Nage gowda palya, near home shool",Home,12:00:00,Metro ,40,Two-Wheeler ,10,1.5 km to 2 km ,8,Walk ,2,< 0.5 km ,,For neither access nor egress trips ,,,Metro card ,30,No crowding - Less than 25% of seats occupied ,Female,,,Metro ,36-45 yrs ,Postgraduate,Unemployed,,1.0,1,0,0,1,1,4,1,1,2,1,1,1,0,0,1
317,317,Silk Institute (green line),Jayanagar (green line),"Marathalli, ecO space",Work,"Silk institute,  sobha hill view appartment ",Home,12:20:00,Metro ,120,Walk ,10,< 0.5 km ,1,Car ,60,> 5 km ,,For neither access nor egress trips ,,,Metro card ,0,No crowding - Less than 25% of seats occupied ,Female,,,Metro ,26-35 yrs ,Graduate,Employed,>2 Lakhs,1.0,1,1,0,1,1,2,1,1,1,8,1,3,0,1,0
323,323,Jayaprakash Nagar (green line),Swami Vivekananda Road (purple line),Marathalli bridge,Work,Uttrahalli main road bescom office ,Home,12:05:00,Bus + Metro ,90,Walk ,2,< 0.5 km ,10,Dropped-off by friends/others ,20,> 5 km ,10.0,For neither access nor egress trips ,5.0,7.0,No ,90,Low crowding - All seats AND up to 25% of standing space occupied ,Female,Yes ,Bus + Metro ,Bus and Metro ,26-35yrs ,Postgraduate,Employed,,0.0,2,0,0,1,1,2,1,2,1,8,1,0,0,1,0
324,324,Jayaprakash Nagar (green line),"Nadaprabhu Kempegowda Station, Majestic (green/purple line)","Anyamma devasthana, near majestic ",Social,"25th main road, JP nagar ",Home,12:00:00,Metro ,50,Auto Rickshaw ,20,4.5 km to 5 km ,4,Walk ,10,< 0.5 km ,,For neither access nor egress trips ,,,No ,80,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,,Metro ,46-60 yrs ,10th,Unemployed,,0.0,0,0,0,1,1,6,1,1,6,1,1,4,0,4,1
326,326,Attiguppe (purple line),Indiranagar (purple line),Attiguppe bbmp office ,Other,Adigas pakadhala,Home,12:30:00,Metro ,30,Auto Rickshaw ,5,1 km to 1.5 km ,5,Walk ,5,< 0.5 km ,,For both access and egress trips ,,,Metro card ,60,Low crowding - All seats AND up to 25% of standing space occupied ,Female,,,Metro ,26-35 yrs ,Graduate,Employed,>2 Lakhs,2.0,3,0,0,1,1,8,1,1,4,1,3,3,0,4,1
327,327,"Nadaprabhu Kempegowda Station, Majestic (green/purple line)",Mahatma Gandhi Road (purple line),"Mg road,st Mark's road",Work,"Yelahanka,rajankunte road",Home,11:30:00,Bus + Metro ,90,Dropped-off by friends/others ,5,2.5 km to 3 km ,2,Auto Rickshaw ,10,3 km to 3.5 km ,0.0,For egress trip only ,5.0,7.0,Metro card ,0,High crowding - All seats AND 50-75% of standing space occupied ,Female,Yes ,Bus + Metro ,Bus and Metro ,18-25yrs ,Postgraduate,Employed,>2 Lakhs,2.0,2,1,0,1,1,2,1,2,7,5,4,0,0,0,4
331,331,Nagasandra (green line),Trinity (purple line),"Trinity, kotak mahindra bank",Other,"Nagasandra,madhavara",Home,12:00:00,Bus + Metro ,60,Walk ,15,2 km to 2.5 km ,2,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,3.0,7.0,No ,46,High crowding - All seats AND 50-75% of standing space occupied ,Female,Yes ,Bus + Metro ,Bus and Metro ,18-25yrs ,Graduate,Student,,0.0,0,0,0,1,1,8,1,2,11,1,1,0,0,1,1
333,333,Mahakavi Kuvempu Road (green line),Mahatma Gandhi Road (purple line),Chruch street,Shopping,Marayappana palya,Home,13:00:00,Metro ,20,Walk ,2,< 0.5 km ,8,Walk ,3,< 0.5 km ,,For neither access nor egress trips ,,,No ,25,High crowding - All seats AND 50-75% of standing space occupied ,Female,,,Metro ,18-25 yrs ,Graduate,Student,,1.0,3,0,0,1,1,4,1,1,1,1,1,2,0,1,1
336,336,"Nadaprabhu Kempegowda Station, Majestic (green/purple line)",Cubbon Park (purple line),Cubbon park,Work,Yelahanka dairy circle ,Home,12:00:00,Bus + Metro ,90,Walk ,3,< 0.5 km ,5,Walk ,7,0.5 to 1 km ,,For neither access nor egress trips ,5.0,5.0,Metro card ,50,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,Not eligible ,Bus + Metro ,Bus and Metro ,18-25yrs ,Postgraduate,Employed,,1.0,1,0,0,1,1,2,1,2,1,3,1,0,0,1,1
356,356,Jalahalli (green line),National College (green line),Passport office near national college ,Other,"Jalahalli cross,  opposite to ICICi atm",Home,14:55:00,Metro ,45,Walk ,5,< 0.5 km ,6,Auto Rickshaw ,10,3.5 km to 4 km ,5.0,For neither access nor egress trips ,,,Metro card ,60,No crowding  - Most ,Female,,,Metro ,18-25 yrs ,12th,Student,,1.0,1,0,0,1,1,8,1,1,1,9,1,2,0,1,4
366,366,"Nadaprabhu Kempegowda Station, Majestic (green/purple line)",Konanakunte Cross (green line),"Konankunte cross,forum mall",Shopping, Yelahanka 4th phase,Home,14:44:00,Bus + Metro ,90,Walk ,7,0.5 to 1 km ,10,Walk ,3,< 0.5 km ,,For neither access nor egress trips ,10.0,7.0,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,Yes ,Bus + Metro ,Bus and Metro ,18-25yrs ,Graduate,Employed,,1.0,1,1,0,1,1,4,1,2,3,1,1,0,0,1,1
368,368,"Nadaprabhu Kempegowda Station, Majestic (green/purple line)",Jayanagar (green line),Jaynagar 4th block,Work,RT nagar simply namdharais,Home,15:20:00,Bus + Metro ,50,Dropped-off by friends/others ,8,2 km to 2.5 km ,6,Walk ,3,< 0.5 km ,,For access trip only ,8.0,6.0,Metro card ,0,High crowding - All seats AND 50-75% of standing space occupied ,Female,Yes ,Bus + Metro ,Bus and Metro ,18-25yrs ,Graduate,Student,>2 Lakhs,1.0,2,0,0,1,1,2,1,2,11,1,2,0,0,0,1
371,371,Rajajinagar (green line),"Sir.M.Visvesvaraya Stn., Central College (purple line)",Avenue road,Other,"Rajajinagar,og variar bakery ",Home,15:40:00,Metro ,27,Auto Rickshaw ,7,1.5 km to 2 km ,6,Walk ,10,0.5 to 1 km ,,For neither access nor egress trips ,,,Metro card ,50,High crowding - All seats AND 50-75% of standing space occupied ,Female,,,Metro ,18-25 yrs ,Graduate,Student,,1.0,2,1,0,1,1,8,1,1,2,3,1,2,0,4,1
374,374,Halasuru (purple line),Mahalakshmi (green line),Iskon temple ,Social,Halasuru near lake,Home,15:50:00,Metro ,60,Auto Rickshaw ,10,2 km to 2.5 km ,5,Walk ,6,0.5 to 1 km ,,For access trip only ,,,No ,70,Low crowding - All seats AND up to 25% of standing space occupied ,Female,,,Metro ,36-45 yrs ,12th,Unemployed,,1.0,1,0,0,1,1,6,1,1,11,3,2,1,0,4,1
395,395,Nagasandra (green line),Swami Vivekananda Road (purple line),Bagmane tech park ,Work,"Nagasandra,  near prestige ",Home,08:00:00,Metro ,60,Two-Wheeler ,10,1.5 km to 2 km ,3,Company vehicle ,15,1.5 km to 2 km ,5.0,For neither access nor egress trips ,,,Metro card ,0,High crowding - All seats AND 50-75% of standing space occupied ,Female,,,Metro ,18-25 yrs ,Graduate,Employed,,0.0,1,0,0,1,1,2,1,1,2,2,1,2,0,0,0
398,398,Jalahalli (green line),Sandal Soap Factory (green line),"Yelahanka, palanahalli",Work,"Bagalaguntte, 16th cross ",Home,08:30:00,Metro ,60,Two-Wheeler ,6,1.5 km to 2 km ,4,Company vehicle ,40,> 5 km ,0.0,For neither access nor egress trips ,,,Metro card ,0,High crowding - All seats AND 50-75% of standing space occupied ,Female,,,Metro ,26-35 yrs ,Graduate,Employed,,0.0,1,1,0,1,1,2,1,1,2,8,1,3,0,0,0
400,400,Peenya Industry (green line),Mahatma Gandhi Road (purple line),"Brigade road, ",School,"TDasrahalli, geetha high school ",Home,08:15:00,Metro ,60,Ola/Uber car ,10,1.5 km to 2 km ,0,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,,,Mobility card ,70,Very high crowding - All seats AND most standing space occupied ,Female,,,Metro ,18-25 yrs ,Graduate,Student,,1.0,1,1,0,1,1,3,1,1,2,1,1,2,0,6,1
408,408,Srirampura (green line),Konanakunte Cross (green line),"Kunankunte cross, near Soudhamni kalpana mantapa",Work,"Himamshu Jothi novas, malleshwaram ",Home,08:30:00,Metro + Bus ,45,Auto Rickshaw ,10,1.5 km to 2 km ,7,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,5.0,10.0,Metro card ,42,High crowding - All seats AND 50-75% of standing space occupied ,Female,Yes ,Metro ,Metro ,26-35yrs ,Postgraduate,Employed,,1.0,0,0,0,1,1,2,1,3,2,1,1,0,0,4,1
410,410,Magadi Road (purple line),Yelachenahalli (green line),"Yelchenahalli,metro wholesale ",Work,"Magadi road ,near GT global mall",Home,08:45:00,Metro ,55,Walk ,10,0.5 to 1 km ,5,Walk ,10,0.5 to 1 km ,,For both access and egress trips ,,,Metro card ,0,High crowding - All seats AND 50-75% of standing space occupied ,Female,,,Metro ,26-35 yrs ,Trade,Employed,"25,001 – 50,000",0.0,1,0,0,1,1,2,1,1,3,3,3,3,0,1,1
413,413,Lalbagh (green line),Silk Institute (green line),"School, kanakpura road, silk institute ",Work,"Near Vilson garden police station , ",Home,09:00:00,Bus1 + Metro + Bus2 ,45,Walk ,5,< 0.5 km ,5,Walk ,7,< 0.5 km ,,For neither access nor egress trips ,3.0,2.0,Metro card ,0,Low crowding - All seats AND up to 25% of standing space occupied ,Female,Yes ,Metro ,Metro ,26-35yrs ,Postgraduate,Employed,,0.0,0,0,0,1,1,2,1,4,1,1,1,0,0,1,1
417,417,Mantri Square Sampige Road (green line),Indiranagar (purple line),Near glens bake house,Work,Malleshwaram margosa road,Home,09:20:00,Metro ,45,Auto Rickshaw ,10,2.5 km to 3 km ,3,Walk ,7,0.5 to 1 km ,,For access trip only ,,,Metro card ,100,High crowding - All seats AND 50-75% of standing space occupied ,Female,,,Bus and Metro ,26-35 yrs ,Graduate,Employed,,1.0,1,0,0,1,1,2,1,1,7,3,2,3,0,4,1
421,421,Trinity (purple line),Nagasandra (green line),Nagasandra ikea,Work,"Halasuru,near gurudwara ",Home,09:30:00,Metro ,50,Walk ,10,0.5 to 1 km ,4,Walk ,4,< 0.5 km ,,For neither access nor egress trips ,,,Metro card ,0,High crowding - All seats AND 50-75% of standing space occupied ,Female,,,Metro ,18-25 yrs ,Graduate,Employed,,0.0,2,0,0,1,1,2,1,1,3,1,1,2,0,1,1
422,422,Silk Institute (green line),Banashankari (green line),"HSR layout,  near asha tiffin ",Work,"Silk institute, elegant wishering wings",Home,09:30:00,Metro + Bus ,75,Two-Wheeler ,3,1 km to 1.5 km ,0,Auto Rickshaw ,5,1 km to 1.5 km ,0.0,For both access and egress trips ,5.0,3.0,Metro card ,40,No crowding  - 50-75% of seats occupied ,Female,Yes ,Metro ,Metro ,26-35yrs ,Graduate,Employed,>2 Lakhs,1.0,3,1,0,1,1,2,1,3,4,4,3,0,0,0,4
426,426,Jayaprakash Nagar (green line),Rajarajeshwari Nagar (purple line),Rajarajeshwari medical college ,School,JP nagar near shobha tulip,Home,09:15:00,Metro + Bus ,75,Dropped-off by friends/others ,7,2 km to 2.5 km ,3,Walk ,2,< 0.5 km ,,For access trip only ,3.0,4.0,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,Yes ,Bus + Metro ,Bus and Metro ,18-25yrs ,Graduate,Student,,1.0,2,1,0,1,1,3,1,3,11,1,2,0,0,0,1
429,429,Konanakunte Cross (green line),Krantivira Sangolli Rayanna Railway Station (purple line),"Magadi road, arogya soudha",Work,"Konnankunte, jambu savari near",Home,09:30:00,Bus + Metro ,45,Walk ,5,< 0.5 km ,10,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,5.0,7.0,Mobility card ,0,No crowding  - Most ,Female,Yes ,Metro ,Metro ,18-25yrs ,Graduate,Employed,"10,001 – 25,000",1.0,1,1,0,1,1,2,1,2,1,1,1,0,0,1,1
430,430,Magadi Road (purple line),Pattanagere (purple line),Rv college pattanagare,School,Badaweswaranagar,Home,09:30:00,Metro ,45,Auto Rickshaw ,20,2.5 km to 3 km ,10,Walk ,5,< 0.5 km ,,For both access and egress trips ,,,Metro card ,45,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,,Metro ,26-35 yrs ,Graduate,Employed,,0.0,1,0,0,1,1,3,1,1,7,1,3,3,0,4,1
438,438,Mahalakshmi (green line),Chickpet (green line),"Chikpett, sudarshan silks",Work,"Nandini layout, jaybhuvaneshwari nagar",Home,10:00:00,Metro ,30,Auto Rickshaw ,15,1.5 km to 2 km ,5,Walk ,10,0.5 to 1 km ,,For neither access nor egress trips ,,,Metro card ,50,High crowding - All seats AND 50-75% of standing space occupied ,Female,,,Metro ,18-25 yrs ,12th,Employed,,0.0,0,0,0,1,1,2,1,1,2,3,1,2,0,4,1
439,439,Jnanabharathi (purple line),"Sir.M.Visvesvaraya Stn., Central College (purple line)","Sir mv , central college ,civil court ",Work,"Jnanabharthi,near bda complex",Home,10:20:00,Metro ,40,Dropped-off by friends/others ,10,3 km to 3.5 km ,4,Walk ,12,0.5 to 1 km ,,For access trip only ,,,Metro card ,0,High crowding - All seats AND 50-75% of standing space occupied ,Female,,,Metro ,36-45 yrs ,Postgraduate,Employed,>2 Lakhs,1.0,2,2,0,1,1,2,1,1,5,3,2,1,0,0,1
442,442,Pantharapalya - Nayandahalli (purple line),Trinity (purple line),Bank of baroda trinity,Work,"Near Global mall, nayandahalli",Home,10:15:00,Metro ,50,Walk ,17,1 km to 1.5 km ,4,Walk ,5,< 0.5 km ,,For access trip only ,,,Metro card ,0,High crowding - All seats AND 50-75% of standing space occupied ,Female,,,Metro ,36-45 yrs ,Graduate,Employed,"1,00,001 – 2,00,000",1.0,1,0,0,1,1,2,1,1,4,1,2,1,0,1,1
448,448,Rajajinagar (green line),Indiranagar (purple line),Indranagar ,Restaurant,"Defence colony, Rajajinagar ",Home,11:00:00,Metro ,45,Dropped-off by friends/others ,5,1 km to 1.5 km ,5,Walk ,4,< 0.5 km ,,For access trip only ,,,Metro card ,0,No crowding  - 25-50% of seats occupied ,Female,,,Metro ,18-25 yrs ,Postgraduate,Student,,1.0,2,0,0,1,1,5,1,1,4,1,2,2,0,0,1
449,449,Krishna Rajendra Market (green line),"Sir.M.Visvesvaraya Stn., Central College (purple line)",Government arts college Sir M Visvesaraya ,School,Martha's English school srinagar,Home,10:30:00,Bus + Metro ,60,Walk ,15,0.5 to 1 km ,5,Walk ,2,< 0.5 km ,,For neither access nor egress trips ,5.0,4.0,No ,50,Very high crowding - All seats AND most standing space occupied ,Female,Not eligible ,Bus + Metro ,Bus and Metro ,18-25yrs ,Graduate,Student,,0.0,0,0,0,1,1,3,1,2,3,1,1,0,0,1,1
456,456,Rajajinagar (green line),Mahatma Gandhi Road (purple line),Mg road metro station ,Work,Gurusagar hotel,Home,11:15:00,Bus + Metro ,45,Walk ,2,< 0.5 km ,5,Walk ,1,< 0.5 km ,,For neither access nor egress trips ,5.0,3.0,Metro card ,0,High crowding - All seats AND 50-75% of standing space occupied ,Female,Yes ,Bus + Metro ,Bus and Metro ,26-35yrs ,Graduate,Employed,,0.0,2,0,0,1,1,2,1,2,1,1,1,0,0,1,1
457,457,Rajajinagar (green line),Baiyappanahalli (purple line),RMz infinuty,Work,Laggere bridge,Home,10:30:00,Metro + Bus ,75,Auto Rickshaw ,15,2.5 km to 3 km ,10,Walk ,5,< 0.5 km ,,For access trip only ,3.0,2.0,Metro card ,0,High crowding - All seats AND 50-75% of standing space occupied ,Female,Yes ,Bus + Metro ,Bus and Metro ,26-35yrs ,Graduate,Employed,,1.0,0,0,0,1,1,2,1,3,7,1,2,0,0,4,1
459,459,Mantri Square Sampige Road (green line),Baiyappanahalli (purple line),Upstart white field ,Work,Malleshwaram 3rd cross,Home,11:30:00,Metro ,90,Dropped-off by friends/others ,5,1 km to 1.5 km ,4,Company cab,5,< 0.5 km ,2.0,For access trip only ,,,Metro card ,0,High crowding - All seats AND 50-75% of standing space occupied ,Female,,,Bus and Metro ,26-35 yrs ,Graduate,Employed,"1,00,001 – 2,00,000",1.0,1,0,0,1,1,2,1,1,4,1,2,3,0,0,0
463,463,Peenya (green line),National College (green line),BMS college ,School,"Yelahanka,  prestige appartment mountain carmel",Home,11:00:00,Metro ,90,Auto Rickshaw ,60,> 5 km ,1,Auto Rickshaw ,5,1 km to 1.5 km ,2.0,For both access and egress trips ,,,Metro card ,230,No crowding  - 50-75% of seats occupied ,Female,,,Metro ,18-25 yrs ,12th,Student,,2.0,1,1,0,1,1,3,1,1,8,4,3,2,0,4,4
471,471,Goraguntepalya (green line),Baiyappanahalli (purple line),Kasthuri nagar,Work,Vidyaranyapura JC Hight apartments ,Home,11:30:00,Bus + Metro ,100,Walk ,15,0.5 to 1 km ,5,Auto Rickshaw ,10,4 km to 4.5 km ,6.0,For egress trip only ,2.0,2.0,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,Yes ,Bus + Metro ,Bus and Metro ,18-25yrs ,Postgraduate,Employed,"10,001 – 25,000",0.0,0,0,0,1,1,2,1,2,3,10,4,0,0,1,4
472,472,"Nadaprabhu Kempegowda Station, Majestic (green/purple line)",Baiyappanahalli (purple line),"Byapanahalli,bagmane- tech park",Work,Rajajinagar old police station ,Home,12:15:00,Bus + Metro ,75,Walk ,2,< 0.5 km ,2,Walk ,25,1 km to 1.5 km ,,For neither access nor egress trips ,5.0,5.0,No ,28,No crowding  - 50-75% of seats occupied ,Female,Yes ,Bus + Metro ,Bus and Metro ,26-35yrs ,Graduate,Employed,"25,001 – 50,000",1.0,0,0,0,1,1,2,1,2,1,4,1,0,0,1,1
